id,gold_pass,prog_op_count,prog_op_diversity,prog_has_chain,prog_uses_const,prog_uses_table_op,prog_sign_flip,prog_magnitude_blowup,prog_max_abs_interm,beh_output_tokens,beh_input_tokens,beh_cost_usd,beh_reasoning_words,beh_tokens_per_word,beh_revision_count,beh_num_mentions,beh_abstain,beh_latency_ms,skill_conf_rating,skill_adv_lc_count,skill_adv_li_count,skill_adv_unc_count,skill_adv_confident
HWM/2016/page_40.pdf-2,1,2,2,1,1,0,0,11.1269,12.52,128,625,0.001265,50,2.56,0,13,0,1766,5,4,0,0,1
BDX/2019/page_45.pdf-1,0,1,1,0,1,0,0,0.0,44.4,101,422,0.000927,46,2.1957,0,6,0,1793,5,4,0,0,1
LMT/2005/page_40.pdf-3,0,1,1,0,0,0,0,0.0,93.3,173,531,0.001396,83,2.0843,0,14,0,2278,5,4,0,0,1
DRE/2009/page_72.pdf-1,1,1,1,0,0,0,0,0.0,14759301.12,111,270,0.000825,42,2.6429,0,5,0,1817,5,4,0,0,1
MSI/2009/page_65.pdf-1,1,1,1,0,0,0,0,0.0,22.19,145,424,0.001149,61,2.377,0,11,0,2074,5,2,0,2,0
APD/2013/page_32.pdf-2,0,1,1,0,0,0,0,0.0,0.9,194,276,0.001246,86,2.2558,0,19,0,2337,4,1,0,3,0
ETR/2016/page_418.pdf-2,0,1,1,0,0,0,0,0.0,7.0,120,272,0.000872,46,2.6087,0,10,0,1644,5,4,0,0,1
ETR/2002/page_24.pdf-3,1,2,2,1,0,0,0,1.2807,73.0,132,503,0.001163,50,2.64,0,17,0,1778,5,4,0,0,1
AAP/2012/page_12.pdf-2,1,2,2,1,0,0,0,33.7037,91.0,131,346,0.001001,56,2.3393,0,16,0,1655,5,3,1,0,0
PKG/2009/page_65.pdf-2,0,1,1,0,0,0,0,0.0,3.0,116,216,0.000796,40,2.9,0,13,0,1903,5,4,0,0,1
RSG/2017/page_138.pdf-1,1,1,1,0,0,0,0,0.0,2.33,101,351,0.000856,42,2.4048,0,9,0,1906,5,2,1,1,0
LMT/2010/page_42.pdf-1,0,2,2,1,0,0,0,8.0,32.0,150,302,0.001052,54,2.7778,0,19,0,1717,5,4,0,0,1
ETFC/2011/page_82.pdf-3,1,1,1,0,0,0,0,0.0,7.4,97,228,0.000713,31,3.129,0,7,0,1619,5,4,0,0,1
AES/2017/page_175.pdf-1,1,2,2,1,0,0,0,1.1515,38.0,145,270,0.000995,62,2.3387,0,14,0,1773,5,4,0,0,1
EW/2016/page_79.pdf-3,0,1,1,0,0,0,0,0.0,0.85,87,299,0.000734,34,2.5588,0,5,0,1809,4,4,0,0,1
ETR/2013/page_118.pdf-4,1,2,1,1,1,0,0,9.958,385.373,136,335,0.001015,55,2.4727,0,13,0,1956,5,4,0,0,1
C/2008/page_102.pdf-1,1,3,2,1,0,0,0,42.1277,39.6,190,382,0.001332,78,2.4359,0,24,0,2037,5,4,0,0,1
IP/2005/page_19.pdf-2,0,1,1,0,0,0,0,0.0,306.0,109,434,0.000979,47,2.3191,0,11,0,1623,5,4,0,0,1
AMT/2005/page_85.pdf-2,1,1,1,0,0,0,0,0.0,4.0,177,402,0.001287,69,2.5652,0,20,0,1974,5,0,2,2,0
HII/2014/page_69.pdf-1,0,1,1,0,0,0,0,0.0,49.4,150,563,0.001313,57,2.6316,0,14,0,1918,4,0,0,4,0
MS/2017/page_74.pdf-1,0,1,1,0,0,0,0,0.0,58.0,212,352,0.001412,100,2.12,0,25,0,2225,2,0,4,0,0
BLK/2013/page_125.pdf-1,1,1,1,0,0,0,0,0.0,10.5,121,236,0.000841,44,2.75,0,12,0,1732,5,4,0,0,1
EW/2016/page_94.pdf-4,1,2,2,1,0,0,0,8.4675,163.0,148,403,0.001143,55,2.6909,0,17,0,2911,5,4,0,0,1
HII/2017/page_124.pdf-2,1,2,2,1,0,0,0,50349.0122,4536446.0,189,397,0.001342,101,1.8713,0,9,0,2179,4,0,0,4,0
AON/2011/page_134.pdf-2,1,1,1,0,0,0,0,0.0,60.3,123,379,0.000994,49,2.5102,0,12,0,1846,5,4,0,0,1
PM/2015/page_127.pdf-3,1,1,1,0,0,1,0,0.0,6806.0,148,391,0.001131,57,2.5965,0,16,0,1910,5,4,0,0,1
LMT/2015/page_54.pdf-3,1,1,1,0,0,0,0,0.0,0.44,132,352,0.001012,51,2.5882,0,11,0,1829,5,3,0,1,0
ETR/2004/page_213.pdf-1,0,3,2,1,0,0,0,9.7403,37.5,275,383,0.001758,135,2.037,1,26,0,2889,3,0,0,4,0
AMT/2010/page_34.pdf-4,0,2,2,1,0,0,0,2.2949,19.3,153,333,0.001098,63,2.4286,0,17,0,1845,5,4,0,0,1
UA/2015/page_71.pdf-2,1,1,1,0,0,0,0,0.0,0.75,94,267,0.000737,32,2.9375,0,10,0,1645,2,0,2,2,0
UNP/2013/page_44.pdf-1,0,1,1,0,0,0,0,0.0,21.3,114,344,0.000914,55,2.0727,0,11,0,1764,4,1,0,3,0
JPM/2007/page_33.pdf-1,1,2,2,1,0,0,0,40.9143,1432.0,138,434,0.001124,46,3.0,0,17,0,1915,5,4,0,0,1
GS/2013/page_152.pdf-3,1,1,1,0,0,1,0,0.0,29.0,144,273,0.000993,64,2.25,0,17,0,1879,5,4,0,0,1
OKE/2012/page_52.pdf-1,1,1,1,0,0,0,0,0.0,15.0,91,205,0.00066,35,2.6,0,8,0,1663,5,4,0,0,1
ETFC/2011/page_82.pdf-4,1,1,1,0,0,0,0,0.0,3.51,98,228,0.000718,36,2.7222,0,7,0,1674,5,4,0,0,1
PNC/2013/page_112.pdf-1,1,1,1,0,0,0,0,0.0,7.5,144,315,0.001035,61,2.3607,0,15,0,1770,5,4,0,0,1
UNP/2015/page_35.pdf-1,0,1,1,0,0,0,0,0.0,0.499,153,401,0.001166,65,2.3538,0,14,0,1888,5,4,0,0,1
IPG/2008/page_62.pdf-4,1,3,3,1,1,0,0,100.0,56.75,170,700,0.00155,58,2.931,0,22,0,1699,5,4,0,0,1
BLK/2013/page_124.pdf-1,1,1,1,0,0,0,0,0.0,345.0,101,548,0.001053,51,1.9804,0,5,0,1705,5,4,0,0,1
ETR/2008/page_377.pdf-1,1,2,2,1,0,0,0,4.0206,39.0,143,265,0.00098,52,2.75,0,16,0,1760,5,4,0,0,1
LMT/2016/page_48.pdf-3,1,1,1,0,0,0,0,0.0,11.1,147,338,0.001073,70,2.1,0,12,0,1891,5,4,0,0,1
AON/2014/page_47.pdf-2,1,2,2,1,1,0,0,100.0,360.0,119,309,0.000904,50,2.38,0,12,0,1680,5,4,0,0,1
DRE/2007/page_59.pdf-2,1,2,2,1,1,0,0,100.0,1.7,90,299,0.000749,29,3.1034,0,7,0,1613,5,4,0,0,1
PNC/2018/page_171.pdf-1,1,1,1,0,0,0,0,0.0,9.3,132,417,0.001077,57,2.3158,0,12,0,1928,5,4,0,0,1
PNC/2011/page_87.pdf-3,1,1,1,0,0,0,0,0.0,33.8,137,347,0.001032,56,2.4464,0,13,0,1735,5,4,0,0,1
LMT/2017/page_80.pdf-3,1,1,1,0,0,0,0,0.0,11.6,121,304,0.000909,46,2.6304,0,11,0,1698,5,4,0,0,1
HII/2017/page_124.pdf-1,1,2,2,1,0,0,0,458226.8687,4536446.0,179,403,0.001298,94,1.9043,0,11,0,2425,4,1,0,3,0
PNC/2011/page_78.pdf-2,1,2,1,1,0,0,0,1.0488,43.0,127,375,0.00101,59,2.1525,0,13,0,2132,5,4,0,0,1
RSG/2015/page_142.pdf-1,1,1,1,0,0,0,0,0.0,2.25,106,255,0.000785,29,3.6552,0,9,0,1608,5,4,0,0,1
GPN/2017/page_77.pdf-4,1,2,1,1,0,0,0,1.041,73576.0,282,423,0.001833,123,2.2927,0,16,0,3887,4,2,0,2,0
SLB/2012/page_44.pdf-4,1,2,2,1,0,0,0,16.4286,11.5,145,269,0.000994,58,2.5,0,17,0,1839,5,4,0,0,1
LKQ/2010/page_84.pdf-2,1,2,2,1,0,0,0,1.7526,17.0,146,246,0.000976,53,2.7547,0,17,0,2839,5,4,0,0,1
FIS/2007/page_94.pdf-1,1,1,1,0,0,0,0,0.0,25.0,116,226,0.000806,48,2.4167,0,11,0,1880,5,3,0,1,0
AMT/2004/page_81.pdf-2,0,2,2,1,0,0,0,10131.1765,34446.0,211,300,0.001355,78,2.7051,0,19,0,2135,5,4,0,0,1
LMT/2010/page_42.pdf-3,1,2,1,1,0,0,1,23.9111,3228.0,116,452,0.001032,56,2.0714,0,8,0,1832,5,4,0,0,1
JPM/2007/page_147.pdf-1,0,1,1,0,0,0,0,0.0,2.1,87,219,0.000654,33,2.6364,0,7,0,1729,5,4,0,0,1
ETR/2002/page_86.pdf-4,0,3,2,1,1,0,0,5.725,916.0,121,229,0.000834,56,2.1607,0,11,0,1916,5,0,0,4,0
AON/2010/page_115.pdf-4,1,2,2,1,0,0,0,2.1053,12.0,127,326,0.000961,47,2.7021,0,17,0,2061,5,4,0,0,1
UNP/2014/page_25.pdf-3,1,2,2,1,0,0,0,0.0,0.0,169,351,0.001196,62,2.7258,0,18,0,1825,5,4,0,0,1
UNP/2015/page_24.pdf-2,1,2,2,1,0,0,0,21.5185,581.0,152,312,0.001072,63,2.4127,0,18,0,1843,5,4,0,0,1
ANSS/2013/page_55.pdf-3,1,1,1,0,0,0,0,0.0,0.4732,165,694,0.001519,69,2.3913,0,10,0,1871,5,4,0,0,1
ABMD/2009/page_88.pdf-4,1,3,2,1,1,0,0,17.9101,67.7,161,360,0.001165,68,2.3676,0,11,0,1894,5,4,0,0,1
UNP/2015/page_24.pdf-3,1,2,2,1,0,0,0,15.0769,980.0,136,312,0.000992,50,2.72,0,17,0,1766,5,4,0,0,1
MO/2012/page_44.pdf-3,1,2,2,1,0,0,0,7.359,28.7,156,398,0.001178,57,2.7368,0,17,0,2053,5,4,0,0,1
BLK/2014/page_119.pdf-4,0,2,2,1,0,0,0,49.4881,1450.0,287,754,0.002189,134,2.1418,0,35,0,3168,2,0,0,4,0
BLK/2016/page_119.pdf-4,1,1,1,0,0,0,0,0.0,22.0,111,480,0.001035,56,1.9821,0,6,0,1991,5,4,0,0,1
BLK/2012/page_37.pdf-4,1,1,1,0,0,0,0,0.0,73.9,129,346,0.000991,44,2.9318,0,6,0,2080,5,4,0,0,1
UNP/2011/page_76.pdf-4,1,1,1,0,0,0,0,0.0,8.0,168,377,0.001217,76,2.2105,0,15,0,1857,5,4,0,0,1
UNP/2013/page_54.pdf-4,0,1,1,0,0,0,0,0.0,8.0,120,448,0.001048,50,2.4,0,12,0,1775,5,4,0,0,1
BLK/2017/page_122.pdf-3,1,2,2,1,0,0,0,1.725,13.8,200,253,0.001253,89,2.2472,0,30,0,2205,5,0,1,3,0
BLK/2012/page_160.pdf-4,1,1,1,0,0,0,0,0.0,61.9,160,549,0.001349,89,1.7978,0,12,0,1879,5,0,4,0,0
