instance_id,gold_pass,fix_generated,patch_len,diff_size_chars,files_modified,num_turns,total_cost_usd,elapsed_s,tool_count,tool_used,comp_ignore,comp_generate_run,comp_gen_run_iterate,comp_full_pipeline,comp_generate_only,comp_other,adversarial_review_used,revised_after_failure,submitted_despite_failure,v009_verdict,v009_confidence,generate_count,run_count,test_pass_total,test_fail_total,test_error_count,review_score_mean,review_score_max,total_actions,action_pct_edit,action_pct_search,action_pct_bash,first_edit_pct,first_edit_action,loop_count,action_entropy,parkinson_ratio,total_input_tokens,total_output_tokens,total_cache_create_tokens,total_cache_read_tokens,total_thinking_tokens,total_tokens,n_thinking_blocks,token_efficiency_ratio,cache_hit_ratio,token_budget_utilization,tokens_per_edit,thinking_to_output_ratio,context_growth_rate
django__django-11039,1,1,825,825,1,22,0.22447920000000002,104.5,4,1,0,0,0,1,0,0,1,1,1,1,0.91,1,2,0,0,0,0.91,0.91,21,0.047619047619047616,0.23809523809523808,0.7142857142857143,0.23809523809523808,5,14,1.8709505944546687,0.23809523809523808,97,2411,35011,543322,16,580841,1,0.004150877778944668,0.9354057306560659,2.904205,580841.0,0.006636250518457071,587.8863892920496
django__django-11049,1,1,1138,1138,2,28,0.3732789,114.9,4,1,0,0,0,1,0,0,1,1,1,1,1.0,1,2,0,0,0,1.0,1.0,27,0.07407407407407407,0.14814814814814814,0.7777777777777778,0.37037037037037035,10,19,1.736645486373337,0.37037037037037035,107,4326,76476,988926,479,1069835,3,0.004043614202190057,0.9243724499572364,5.349175,534917.5,0.11072584373555247,1006.7313116550968
django__django-11099,1,1,901,901,1,7,0.0882219,35.7,2,1,0,1,0,0,0,0,0,0,0,,,1,1,24,0,0,,,6,0.16666666666666666,0.3333333333333333,0.5,0.5,3,3,1.9219280948873623,0.5,11,960,19035,137408,10,157414,1,0.006098568107029871,0.8729083817195421,0.78707,157414.0,0.010416666666666666,569.8736842105262
django__django-11133,1,1,1106,1106,1,23,0.3357667500000001,160.2,4,1,0,0,0,1,0,0,1,1,1,0,0.42,1,2,0,2,0,0.42,0.42,22,0.09090909090909091,0.22727272727272727,0.6818181818181818,0.2727272727272727,6,16,1.9110928353580843,0.2727272727272727,102,5213,56183,820236,791,881734,4,0.0059122138876350466,0.9302533417107653,4.40867,440867.0,0.1517360445041243,1091.1829339567503
django__django-11179,1,1,614,614,1,21,0.21108839999999998,101.7,3,1,0,0,0,1,0,0,1,0,1,0,0.52,1,1,0,0,1,0.52,0.52,20,0.05,0.2,0.75,0.25,5,17,1.192250860234642,0.25,31,3163,32281,505741,262,541216,3,0.00584424702891267,0.9344531573345947,2.70608,541216.0,0.08283275371482769,399.7518569111243
django__django-11283,0,1,1281,1281,1,22,0.28501694999999994,113.8,3,1,0,0,0,1,0,0,1,0,1,0,0.36,1,1,0,0,1,0.36,0.36,21,0.047619047619047616,0.3333333333333333,0.6190476190476191,0.38095238095238093,8,13,2.0854752972273345,0.38095238095238093,6699,4350,47438,679084,868,737571,4,0.005897737302578328,0.920703227214736,3.687855,737571.0,0.19954022988505746,1273.8622693096377
django__django-11422,1,1,1134,1134,1,22,0.2814795,135.1,4,1,0,0,0,1,0,0,1,1,1,0,0.71,1,2,0,2,0,0.71,0.71,21,0.047619047619047616,0.23809523809523808,0.7142857142857143,0.2857142857142857,6,15,1.7166422780956525,0.2857142857142857,100,4829,43488,637122,1024,685539,5,0.007044092312764117,0.9293738211830399,3.427695,685539.0,0.21205218471733278,831.963157894737
django__django-11564,0,1,1368,1368,2,31,0.5545888499999999,218.3,4,1,0,0,0,1,0,0,1,1,1,0,0.35,1,2,0,2,0,0.35,0.35,36,0.1388888888888889,0.25,0.6111111111111112,0.4444444444444444,16,22,2.3655957039963784,0.4444444444444444,1535,10312,86784,1679311,2583,1777942,10,0.0057999642283044104,0.9445251869858522,8.88971,355588.4,0.25048487199379366,1144.917723017042
django__django-11583,1,1,563,563,1,9,0.1294995,62.6,3,1,0,0,0,1,0,0,1,0,0,0,0.56,1,1,18,0,0,0.56,0.56,8,0.125,0.375,0.5,0.5,4,5,1.8423709931771086,0.5,86,1828,37091,253134,492,292139,3,0.006257295328593581,0.8664847897747305,1.460695,292139.0,0.26914660831509846,1184.4960683760683
django__django-11620,0,1,535,535,1,31,0.52698165,215.9,0,0,1,0,0,0,0,0,0,0,0,,,0,0,0,0,0,,,33,0.15151515151515152,0.3939393939393939,0.45454545454545453,0.3333333333333333,11,12,2.63669834670499,0.3333333333333333,523,11813,62612,1314462,2561,1389410,9,0.008502169985821319,0.9460576791587796,6.94705,277882.0,0.2167950562939135,1436.5645002551585
django__django-11630,0,1,2442,2442,1,31,0.5595191999999999,233.5,5,1,0,0,0,1,0,0,1,1,0,0,0.35,1,3,1,3,0,0.35,0.35,32,0.125,0.1875,0.6875,0.28125,9,20,2.23672031672819,0.28125,51,12301,70181,1373851,2934,1456384,10,0.008446261425558094,0.9433301931358763,7.28192,364096.0,0.23851719372408747,1375.3699628688692
django__django-11742,0,1,1778,1778,1,31,0.46396305000000004,190.8,4,1,0,0,0,1,0,0,1,1,1,0,0.52,1,2,0,2,0,0.52,0.52,31,0.03225806451612903,0.2903225806451613,0.6774193548387096,0.41935483870967744,13,17,1.982798115178801,0.41935483870967744,117,9098,58208,1189168,1906,1256591,8,0.007240223748220384,0.9463445146431894,6.282955,1256591.0,0.20949659265772697,1124.748751101969
django__django-11815,1,1,4605,4605,2,31,0.5321952000000001,244.4,3,1,0,0,0,1,0,0,1,0,0,0,0.52,1,1,10,0,0,0.52,0.52,31,0.12903225806451613,0.1935483870967742,0.6774193548387096,0.16129032258064516,5,18,2.1232314287976206,0.16129032258064516,113,11615,70592,1159360,1668,1241680,5,0.009354261967656723,0.9337027253398621,6.2084,310420.0,0.14360740421868273,1288.700973709834
django__django-11848,1,1,738,738,1,18,0.2601786,138.4,4,1,0,0,0,1,0,0,1,1,1,0,0.32,1,2,0,2,0,0.32,0.32,17,0.058823529411764705,0.23529411764705882,0.7058823529411765,0.29411764705882354,5,10,1.9669171866886992,0.29411764705882354,97,5335,45581,569334,1070,620347,5,0.008600025469616199,0.9177669916998067,3.101735,620347.0,0.20056232427366447,1220.0292857142858
django__django-11905,0,1,703,703,1,31,0.4353003,194.5,3,1,0,0,1,0,0,0,0,1,1,,,1,2,0,0,2,,,31,0.12903225806451613,0.25806451612903225,0.6129032258064516,0.16129032258064516,5,15,2.52742132943338,0.16129032258064516,116,9486,52478,1070167,2296,1132247,11,0.008378030588731964,0.9451709741778959,5.661235,283061.75,0.24204090238245837,972.2156267345807
django__django-11910,1,1,1349,1349,1,31,0.6015219,271.9,3,1,0,0,0,1,0,0,1,0,0,0,0.58,1,1,8,0,0,0.58,0.58,30,0.03333333333333333,0.23333333333333334,0.7333333333333333,0.43333333333333335,13,19,1.8411924330153042,0.43333333333333335,109,15427,57502,1177823,3530,1250861,6,0.012333104957305408,0.9416098191565649,6.254305,1250861.0,0.22881960199649964,1740.1218363569044
django__django-11964,1,1,634,634,1,18,0.24853560000000002,119.7,4,1,0,0,0,1,0,0,1,0,0,0,0.52,1,2,28,2,0,0.52,0.52,17,0.058823529411764705,0.17647058823529413,0.7647058823529411,0.29411764705882354,5,12,1.6216407621868583,0.29411764705882354,98,4952,39525,514124,813,558699,3,0.008863448833808544,0.9202164313879209,2.793495,558699.0,0.16417609046849757,990.4181313598523
django__django-11999,1,1,819,819,1,21,0.28399664999999996,137.8,4,1,0,0,0,1,0,0,1,1,1,0,0.42,1,2,0,0,0,0.42,0.42,20,0.05,0.2,0.75,0.25,5,13,1.7732143550933817,0.25,98,5828,41219,574933,702,622078,3,0.00936860007908976,0.9242136838145699,3.11039,622078.0,0.12045298558682224,894.6067569746815
django__django-12125,1,1,2378,2378,2,31,0.43952804999999995,202.6,4,1,0,0,0,1,0,0,1,0,0,0,0.65,1,2,4,2,0,0.65,0.65,33,0.09090909090909091,0.24242424242424243,0.6666666666666666,0.21212121212121213,7,20,2.070264662257932,0.21212121212121213,417,8908,53005,1169498,2090,1231828,8,0.007231529077111415,0.9494004033030585,6.15914,410609.3333333333,0.23462056578356533,931.798330109911
django__django-12184,1,1,608,608,1,23,0.2847273,126.9,4,1,0,0,0,1,0,0,1,1,1,0,0.25,1,2,0,2,0,0.25,0.25,22,0.045454545454545456,0.22727272727272727,0.7272727272727273,0.2727272727272727,6,15,1.815854740119989,0.2727272727272727,37,5600,31849,711537,1018,749023,6,0.007476405931460049,0.9499534727238015,3.745115,749023.0,0.18178571428571427,694.1520888418826
django__django-12284,1,1,659,659,1,29,0.3145383,131.1,4,1,0,0,0,1,0,0,1,1,1,0,0.35,1,2,0,0,0,0.35,0.35,28,0.03571428571428571,0.14285714285714285,0.8214285714285714,0.21428571428571427,6,23,1.2645665437059141,0.21428571428571427,109,5278,39628,818690,595,863705,5,0.006110882766685384,0.9478815104694311,4.318525,863705.0,0.11273209549071618,490.96935494244025
django__django-12286,1,1,1837,1837,2,23,0.26294775000000004,125.2,4,1,0,0,0,1,0,0,1,1,1,0,0.58,1,2,0,2,0,0.58,0.58,22,0.09090909090909091,0.18181818181818182,0.7272727272727273,0.22727272727272727,5,14,1.815854740119989,0.22727272727272727,101,4006,44351,659135,645,707593,4,0.0056614466225641015,0.9315171291971515,3.537965,353796.5,0.16100848726909636,962.4140391891475
django__django-12308,1,1,721,721,1,31,0.38452320000000006,221.7,4,1,0,0,0,1,0,0,1,0,0,0,0.55,1,2,8,2,0,0.55,0.55,34,0.11764705882352941,0.23529411764705882,0.6470588235294118,0.35294117647058826,12,18,2.4090036069121488,0.35294117647058826,186,6799,47824,1131942,1402,1186751,9,0.005729087230598499,0.9538159226324646,5.933755,296687.75,0.20620679511692896,736.9559244126658
django__django-12453,1,1,1147,1147,1,29,0.3933899999999999,164.5,5,1,0,0,0,1,0,0,1,1,1,0,0.74,1,2,0,2,0,0.5449999999999999,0.74,28,0.14285714285714285,0.17857142857142858,0.6785714285714286,0.17857142857142858,5,19,1.986187965046303,0.17857142857142858,116,5919,55664,1055006,1242,1116705,6,0.005300415060378524,0.9447490608531349,5.583525,279176.25,0.20983274201723265,1028.648024606972
django__django-12470,1,1,884,884,1,31,0.58651155,275.2,2,1,0,1,0,0,0,0,0,0,1,,,1,1,0,0,1,,,34,0.029411764705882353,0.29411764705882354,0.6764705882352942,0.5588235294117647,19,23,1.9332338011645616,0.5588235294117647,1550,14336,69759,1249393,3929,1335038,8,0.010738271120372603,0.9358482679893756,6.67519,1335038.0,0.27406529017857145,1554.208383818644
django__django-12497,1,1,2119,2119,2,23,0.2570118,92.0,3,1,0,0,1,0,0,0,0,0,0,,,1,2,8,2,0,,,22,0.13636363636363635,0.22727272727272727,0.6363636363636364,0.22727272727272727,5,12,2.298309401300804,0.22727272727272727,97,3086,39588,568753,180,611524,2,0.005046408644632099,0.9300583460338433,3.05762,203841.33333333334,0.05832793259883344,909.3067657709166
django__django-12700,1,1,707,707,1,17,0.19908705,88.7,4,1,0,0,0,1,0,0,1,0,0,0,0.34,1,2,10,2,0,0.34,0.34,16,0.0625,0.1875,0.75,0.3125,5,11,1.6922718656836104,0.3125,94,3260,35524,469112,386,507990,3,0.006417449162385087,0.9234669973818382,2.53995,507990.0,0.11840490797546012,648.2562582345192
django__django-12708,1,1,754,754,1,19,0.23478539999999998,119.0,4,1,0,0,0,1,0,0,1,1,1,0,0.32,1,2,0,2,0,0.32,0.32,18,0.05555555555555555,0.3333333333333333,0.6111111111111112,0.3888888888888889,7,12,2.011920928594794,0.3888888888888889,32,3870,40239,583604,877,627745,5,0.0061649236553058965,0.9296832312483572,3.138725,627745.0,0.22661498708010336,808.1667873303167
django__django-12747,1,1,1040,1040,1,31,0.43704,230.7,3,1,0,0,0,1,0,0,1,0,1,0,0.48,1,1,0,1,0,0.48,0.48,31,0.25806451612903225,0.25806451612903225,0.4838709677419355,0.22580645161290322,7,17,2.6799360853693943,0.22580645161290322,123,8759,57245,1305668,1347,1371795,8,0.006385064823825717,0.9517952755331518,6.858975,171474.375,0.1537846786162804,900.2317841334691
django__django-12856,1,1,614,614,1,29,0.31881839999999995,122.6,4,1,0,0,0,1,0,0,1,1,1,0,0.52,1,2,0,0,0,0.52,0.52,28,0.03571428571428571,0.25,0.7142857142857143,0.5,14,17,1.9177260601587358,0.5,6423,4018,46923,919907,330,977271,4,0.004111449127212411,0.9413018497428042,4.886355,977271.0,0.0821304131408661,715.8924546464269
django__django-12908,1,1,980,980,2,23,0.23740020000000006,87.7,3,1,0,0,0,1,0,0,1,0,1,0,0.24,1,1,0,0,1,0.24,0.24,22,0.09090909090909091,0.22727272727272727,0.6818181818181818,0.3181818181818182,7,14,1.9628150414142902,0.3181818181818182,1157,3492,39218,636925,457,680792,4,0.005129319968507268,0.9355647539924088,3.40396,340396.0,0.13087056128293242,590.1183672213848
django__django-12915,1,1,912,912,1,27,0.30608415000000005,134.9,5,1,0,0,0,1,0,0,1,0,0,0,0.4,1,2,2,2,0,0.32,0.4,26,0.11538461538461539,0.15384615384615385,0.7307692307692307,0.19230769230769232,5,18,1.9797218324096137,0.19230769230769232,42,4040,43860,827699,559,875641,5,0.004613762946230247,0.9452492516910469,4.378205,291880.3333333333,0.13836633663366338,669.2514797223237
django__django-12983,1,1,509,509,1,17,0.2623149,101.8,4,1,0,0,0,1,0,0,1,0,0,0,0.71,1,2,30,2,0,0.71,0.71,16,0.0625,0.1875,0.75,0.25,4,13,1.2366407419411674,0.25,93,4368,51284,536739,755,592484,4,0.007372350983317693,0.9059130710702736,2.96242,592484.0,0.17284798534798534,1291.9614517265682
django__django-13028,1,1,629,629,1,21,0.3001284,129.3,4,1,0,0,0,1,0,0,1,1,1,0,0.24,1,2,0,2,0,0.24,0.24,20,0.05,0.2,0.75,0.35,7,13,1.7732143550933817,0.35,34,5913,37614,635052,725,678613,3,0.008713360928835729,0.9358087746624365,3.393065,678613.0,0.1226111956705564,1073.0604154755097
django__django-13033,1,1,885,885,1,18,0.4474825,187.0,4,1,0,0,0,1,0,0,1,1,1,0,0.28,1,2,0,0,2,0.28,0.28,17,0.058823529411764705,0.11764705882352941,0.7647058823529411,0.23529411764705882,4,12,1.311278124459133,0.23529411764705882,32,3947,36523,598181,400,638683,5,0.006179904584903622,0.9365851290859472,3.193415,638683.0,0.10134279199391943,680.3671428571427
django__django-13158,0,1,486,486,1,26,0.32912925,131.4,3,1,0,0,0,1,0,0,1,0,1,0,0.55,1,1,0,0,1,0.55,0.55,25,0.04,0.28,0.68,0.48,12,14,2.042481250360578,0.48,41,5534,38330,836251,1115,880156,5,0.006287521757506624,0.9501167974768109,4.40078,880156.0,0.20148174918684497,850.496812612131
django__django-13220,0,1,1808,1808,1,14,0.2818374,145.8,4,1,0,0,0,1,0,0,1,0,0,0,0.35,1,2,43,1,0,0.35,0.35,13,0.15384615384615385,0.3076923076923077,0.5384615384615384,0.3076923076923077,4,7,2.2841591278514217,0.3076923076923077,94,8053,53307,542554,1265,604008,5,0.013332604866160714,0.8982563144859008,3.02004,302004.0,0.15708431640382467,1711.5139777975844
django__django-13230,1,1,595,595,1,15,0.16120724999999997,73.4,3,1,0,0,0,1,0,0,1,0,0,0,0.58,1,1,9,0,0,0.58,0.58,14,0.07142857142857142,0.21428571428571427,0.7142857142857143,0.42857142857142855,6,8,2.0349409139562287,0.42857142857142855,91,2423,39208,409832,286,451554,3,0.005365914154231831,0.9076035202877175,2.25777,451554.0,0.11803549319026001,770.1970919324579
django__django-13265,0,1,1809,1809,1,31,0.516657,226.6,4,1,0,0,0,1,0,0,1,1,1,0,0.63,1,2,0,2,0,0.63,0.63,31,0.03225806451612903,0.3225806451612903,0.6451612903225806,0.1935483870967742,6,14,2.0961399650265076,0.1935483870967742,120,9906,69005,1418753,2559,1497784,9,0.0066137707439791055,0.9472347147519269,7.48892,1497784.0,0.258328285887341,1250.9381763290723
django__django-13315,1,1,674,674,1,22,0.2139843,103.5,3,1,0,0,0,1,0,0,1,0,1,0,0.6,1,1,0,0,1,0.6,0.6,21,0.047619047619047616,0.19047619047619047,0.7619047619047619,0.3333333333333333,7,16,1.5567796494470394,0.3333333333333333,1921,2718,32298,541222,426,578159,3,0.004701128928201411,0.9361127302351083,2.890795,578159.0,0.15673289183222958,746.763382566379
django__django-13321,0,1,720,720,1,22,0.26472615000000005,95.6,4,1,0,0,0,1,0,0,1,1,1,0,0.25,1,2,0,0,0,0.25,0.25,21,0.14285714285714285,0.23809523809523808,0.6190476190476191,0.19047619047619047,4,15,1.8709505944546687,0.19047619047619047,38,3694,39369,693121,130,736222,2,0.0050175083059185955,0.9414565171918253,3.68111,245407.33333333334,0.03519220357336221,639.631254861291
django__django-13401,1,1,1795,1795,1,25,0.29658555,135.8,4,1,0,0,0,1,0,0,1,0,1,0,0.25,1,1,0,0,1,0.25,0.25,24,0.08333333333333333,0.16666666666666666,0.75,0.20833333333333334,5,15,1.9451720035002105,0.20833333333333334,106,5288,39177,764048,584,808619,4,0.006539544581564371,0.9448800980437017,4.043095,404309.5,0.11043872919818457,671.0805069930071
django__django-13447,1,1,1701,1701,1,23,0.25922850000000003,103.9,3,1,0,0,0,1,0,0,1,0,1,0,0.65,1,1,0,0,1,0.65,0.65,22,0.18181818181818182,0.13636363636363635,0.6818181818181818,0.22727272727272727,5,17,1.8751458114455382,0.22727272727272727,35,3926,30131,662903,484,696995,4,0.005632752028350275,0.9510871670528483,3.484975,174248.75,0.12328069281711666,553.3727644652249
django__django-13448,0,1,671,671,1,31,1.1064657000000002,531.4,0,0,1,0,0,0,0,0,0,0,0,,,0,0,0,0,0,,,33,0.3939393939393939,0.3939393939393939,0.21212121212121213,0.36363636363636365,12,15,2.705439938586857,0.36363636363636365,647,34159,129969,3295544,9953,3460319,24,0.009871633222254943,0.9523815578852701,17.301595,266178.3846153846,0.2913726982640007,2182.235909898521
django__django-13551,1,1,858,858,1,29,0.31020479999999995,136.3,3,1,0,0,0,1,0,0,1,0,1,0,0.52,1,1,0,0,1,0.52,0.52,28,0.03571428571428571,0.21428571428571427,0.75,0.17857142857142858,5,19,1.7550118241789237,0.17857142857142858,109,3925,39186,849650,290,892870,2,0.004395936698511542,0.9515942970421226,4.46435,892870.0,0.07388535031847134,599.4602064441445
django__django-13590,1,1,774,774,1,24,0.28381349999999994,183.9,5,1,0,0,0,1,0,0,1,0,0,0,0.71,1,3,12,3,0,0.71,0.71,23,0.08695652173913043,0.21739130434782608,0.6956521739130435,0.21739130434782608,5,13,2.106048095418327,0.21739130434782608,106,4415,44485,772949,662,821955,5,0.005371340280185655,0.9403787311957468,4.109775,410977.5,0.14994337485843715,779.9310897435897
django__django-13658,1,1,896,896,1,9,0.09919275,45.2,2,1,0,1,0,0,0,0,0,0,0,,,1,1,8,0,0,,,8,0.25,0.25,0.5,0.375,3,2,2.521640636343318,0.375,13,1100,18600,173703,14,193416,1,0.005687223394134922,0.8980797865740167,0.96708,96708.0,0.012727272727272728,392.2460474308302
django__django-13660,0,1,973,973,1,9,0.14188485,107.5,4,1,0,0,0,1,0,0,1,1,1,0,0.26,1,2,0,2,0,0.26,0.26,8,0.125,0.125,0.75,0.25,2,5,1.1488348542809166,0.25,20,2759,26891,287465,535,317135,3,0.008699765084270106,0.9064436281079036,1.585675,317135.0,0.19391083725987676,971.4756431308157
django__django-13710,1,1,749,749,1,30,0.3487051499999999,158.2,4,1,0,0,0,1,0,0,1,1,1,0,0.32,1,2,0,2,0,0.32,0.32,29,0.13793103448275862,0.1724137931034483,0.6896551724137931,0.1724137931034483,5,19,2.208966082694623,0.1724137931034483,119,6248,54720,1138878,1077,1199965,7,0.005206818532207189,0.9490926818698878,5.999825,299991.25,0.1723751600512164,802.0767809915623
django__django-13757,1,1,1938,1938,2,23,0.30465734999999994,138.5,2,1,0,0,0,0,0,1,1,0,0,1,0.89,0,0,0,0,0,0.8049999999999999,0.89,22,0.13636363636363635,0.22727272727272727,0.6363636363636364,0.3181818181818182,7,12,2.2983094013008034,0.3181818181818182,104,5329,44504,771034,413,820971,3,0.006491094082494997,0.9391732472888811,4.104855,273657.0,0.07750046913116908,785.0722369116868
django__django-13768,0,1,915,915,1,10,0.12279194999999998,51.6,2,1,0,1,0,0,0,0,0,0,0,,,1,1,12,0,0,,,9,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.4444444444444444,4,6,2.25,0.4444444444444444,83,1390,36563,238422,53,276458,2,0.005027888503859538,0.8624167142929486,1.38229,92152.66666666667,0.038129496402877695,1032.8412698412699
django__django-13925,1,1,600,600,1,31,0.4290548999999999,187.4,4,1,0,0,0,1,0,0,1,1,1,0,0.35,1,2,0,2,0,0.35,0.35,30,0.1,0.23333333333333334,0.6666666666666666,0.3333333333333333,10,19,2.2763250833821176,0.3333333333333333,52,7796,48260,1180711,1698,1236819,10,0.0063032666865564,0.954635237654014,6.184095,412273.0,0.21780400205233452,919.2206985122061
django__django-13933,1,1,3356,3356,2,31,0.3894164999999999,153.4,4,1,0,0,0,1,0,0,1,1,1,0,0.78,1,2,0,0,2,0.78,0.78,31,0.1935483870967742,0.25806451612903225,0.5483870967741935,0.1935483870967742,6,17,2.7055872616982604,0.1935483870967742,114,6104,46974,1059596,919,1112788,4,0.005485321552712646,0.9521993407549326,5.56394,185464.66666666666,0.1505570117955439,776.1060126582274
django__django-13964,1,1,688,688,1,31,0.6443325,345.5,3,1,0,0,0,1,0,0,1,0,1,0,0.24,1,1,0,0,1,0.24,0.24,31,0.03225806451612903,0.25806451612903225,0.7096774193548387,0.41935483870967744,13,20,1.8988320688278773,0.41935483870967744,112,16313,68062,1212993,3490,1297480,7,0.012572833492616457,0.9348837747017295,6.4874,1297480.0,0.2139398026114142,1689.5636768294992
django__django-14016,1,1,930,930,1,31,0.6889864499999999,369.6,7,1,0,0,0,1,0,0,1,0,0,0,0.35,1,3,51,0,0,0.42333333333333334,0.58,30,0.2,0.16666666666666666,0.6333333333333333,0.16666666666666666,5,21,2.1162646156680225,0.16666666666666666,126,18109,78224,1767171,4407,1863630,11,0.009717057570440484,0.9482413354582186,9.31815,310605.0,0.24335965541995694,1338.9461856983594
django__django-14017,1,1,1047,1047,1,31,0.7022714999999999,364.2,5,1,0,0,0,1,0,0,1,1,0,0,0.55,1,3,1,3,0,0.55,0.55,30,0.1,0.16666666666666666,0.7333333333333333,0.23333333333333334,7,18,1.9960277776936857,0.23333333333333334,51,18228,80272,1547648,4469,1646199,11,0.011072780386818361,0.9401342122064222,8.230995,548733.0,0.24517226245336846,1927.1896226019064
django__django-14155,0,1,1221,1221,1,31,0.49311765,209.0,7,1,0,0,0,1,0,0,1,0,0,0,0.35,1,4,34,2,0,0.315,0.35,31,0.12903225806451613,0.3225806451612903,0.5483870967741935,0.1935483870967742,6,16,2.7050990021081764,0.1935483870967742,121,11181,63653,1265172,2324,1340127,9,0.008343239110920084,0.9440687337841861,6.700635,335031.75,0.20785260710133263,1124.5578297003722
