instance_id,gold_pass,total_cost_usd,tokens_per_edit,loop_count,model_family,_n_edits,_n_reads,_n_bash,_n_errors,_n_messages,_est_tokens
fronzbot__blinkpy-401,1,0.072251,4607.8,100,qwen3-30b,14,27,46,7,201,64510
matrix-org__synapse-12358,0,0.072769,5906.6,55,qwen3-30b,11,13,26,3,111,64973
tobymao__sqlglot-4516,0,0.032847,2932.8,60,qwen3-30b,10,16,31,2,121,29328
scipp__scippnexus-94,1,0.052234,11659.4,45,qwen3-30b,4,11,27,0,91,46638
streamlink__streamlink-2765,1,0.081113,12070.4,53,qwen3-30b,6,15,28,1,107,72422
wyfo__apischema-259,0,0.051719,2198.9,92,qwen3-30b,21,20,47,25,185,46177
astamminger__zotero-bibtize-19,0,0.060283,4485.3,54,qwen3-30b,12,14,25,2,109,53824
briancurtin__deprecation-12,0,0.036404,3250.4,48,qwen3-30b,10,11,24,0,97,32504
dag-hammarskjold-library__dlx-310,0,0.069124,3857.4,72,qwen3-30b,16,22,30,3,145,61718
tobymao__sqlglot-444,0,0.051128,3511.6,91,qwen3-30b,13,20,54,5,183,45650
elastic__rally-436,0,0.061548,4579.5,100,qwen3-30b,12,34,49,10,201,54954
beetbox__beets-3863,0,0.061084,6817.4,62,qwen3-30b,8,20,29,2,125,54540
zalando-stups__senza-397,1,0.047369,10573.4,40,qwen3-30b,4,8,22,5,81,42294
alexander-akhmetov__python-telegram-208,0,0.050352,3458.3,66,qwen3-30b,13,26,24,2,133,44958
getsentry__responses-409,1,0.076667,4889.5,76,qwen3-30b,14,19,36,1,153,68453
python-pillow__Pillow-5089,0,0.059312,2942.1,93,qwen3-30b,18,19,53,5,187,52957
matthewwithanm__python-markdownify-178,0,0.065008,4836.9,79,qwen3-30b,12,12,44,1,159,58043
LSSTDESC__gcr-catalogs-419,0,0.047365,8458.0,57,qwen3-30b,5,16,31,0,115,42290
reframe-hpc__reframe-2533,1,0.070559,3937.4,100,qwen3-30b,16,35,46,10,201,62999
pypa__wheel-552,0,0.03909,6980.3,42,qwen3-30b,5,8,25,0,85,34902
collective__zpretty-36,1,0.077815,6947.8,72,qwen3-30b,10,19,40,1,145,69478
ros-tooling__cross_compile-216,0,0.050115,5593.2,43,qwen3-30b,8,16,16,1,87,44746
fsspec__filesystem_spec-996,1,0.066902,2986.7,83,qwen3-30b,20,19,41,11,167,59734
PyCQA__pyflakes-420,1,0.044965,8029.4,54,qwen3-30b,5,11,35,10,109,40147
ibis-project__ibis-4670,0,0.029063,3243.6,66,qwen3-30b,8,15,37,3,133,25949
lepture__mistune-143,1,0.049041,1563.8,96,qwen3-30b,28,24,40,0,193,43787
Skyscanner__cfripper-80,0,0.061306,2280.7,82,qwen3-30b,24,23,31,6,165,54737
python-cmd2__cmd2-1067,0,0.043357,2419.5,76,qwen3-30b,16,17,38,14,153,38712
peterbe__hashin-111,0,0.036356,3246.1,52,qwen3-30b,10,13,24,3,105,32461
frictionlessdata__frictionless-py-1045,0,0.084842,3787.6,100,qwen3-30b,20,27,51,4,201,75752
yukinarit__pyserde-208,1,0.037122,3013.2,69,qwen3-30b,11,14,40,9,139,33145
en0__dnry-config-4,1,0.026316,5874.1,35,qwen3-30b,4,12,14,2,71,23496
StingraySoftware__stingray-874,0,0.070837,4865.2,71,qwen3-30b,13,19,34,6,143,63248
facebookresearch__ParlAI-1869,0,0.033036,4213.7,58,qwen3-30b,7,19,28,5,117,29496
asottile__pyupgrade-195,1,0.051919,4635.6,53,qwen3-30b,10,17,22,4,108,46356
tinosulzer__PyBaMM-170,0,0.052868,1966.8,100,qwen3-30b,24,22,53,8,201,47203
omni-us__jsonargparse-560,1,0.05803,1786.6,100,qwen3-30b,29,20,48,3,201,51812
psf__black-3451,0,0.038636,1149.9,100,qwen3-30b,30,17,50,17,201,34497
algorand__pyteal-561,1,0.067975,15173.0,65,qwen3-30b,4,22,30,5,131,60692
vitalik__django-ninja-361,0,0.052498,5208.1,79,qwen3-30b,9,27,38,2,159,46873
mwouts__jupytext-368,0,0.064072,4400.5,70,qwen3-30b,13,17,36,2,141,57207
hylang__hy-1374,1,0.054955,3066.7,85,qwen3-30b,16,20,44,10,171,49067
wemake-services__wemake-python-styleguide-2343,1,0.057655,7353.9,59,qwen3-30b,7,20,28,7,119,51477
coverahealth__dataspec-88,1,0.055953,9991.6,42,qwen3-30b,5,10,24,2,85,49958
theavey__ParaTemp-31,1,0.083255,3716.7,95,qwen3-30b,20,32,39,9,191,74334
sqlfluff__sqlfluff-4239,0,0.080318,3984.0,100,qwen3-30b,18,23,57,3,201,71712
slarse__labelbot-26,0,0.038653,4313.9,54,qwen3-30b,8,17,26,1,109,34512
kvesteri__intervals-54,1,0.05046,3218.1,57,qwen3-30b,14,13,26,1,115,45054
hhatto__autopep8-450,1,0.033738,3765.4,60,qwen3-30b,8,9,39,1,121,30123
hgrecco__pint-1476,1,0.04605,2569.8,80,qwen3-30b,16,18,44,3,161,41116
nose-devs__nose2-439,1,0.037853,2816.4,61,qwen3-30b,12,12,33,5,123,33797
marshmallow-code__marshmallow-1063,1,0.052755,4710.2,60,qwen3-30b,10,13,34,4,121,47102
yukinarit__pyserde-620,1,0.067241,5003.1,79,qwen3-30b,12,20,44,4,159,60037
angr__claripy-450,1,0.044125,9849.2,42,qwen3-30b,4,8,27,1,85,39397
iterative__dvc-1651,1,0.033823,7549.7,35,qwen3-30b,4,11,16,1,71,30199
nose-devs__nose2-615,1,0.037836,2252.1,92,qwen3-30b,15,22,52,6,185,33782
encode__httpx-386,1,0.047258,5274.3,48,qwen3-30b,8,14,22,2,97,42194
streamlink__streamlink-6242,1,0.039485,7050.9,41,qwen3-30b,5,7,25,3,83,35254
narwhals-dev__narwhals-978,0,0.065539,5319.8,62,qwen3-30b,11,15,32,3,125,58517
omni-us__jsonargparse-564,1,0.033905,3027.2,60,qwen3-30b,10,10,37,7,121,30272
mmcdermott__MEDS_transforms-154,0,0.075286,9602.9,51,qwen3-30b,7,18,21,1,103,67220
scipp__plopp-250,0,0.054319,6062.3,64,qwen3-30b,8,20,32,7,129,48499
nilearn__nilearn-4929,0,0.031529,4691.8,51,qwen3-30b,6,13,23,1,103,28151
crate__crate-python-474,0,0.057487,6416.0,53,qwen3-30b,8,9,31,3,107,51328
sqlfluff__sqlfluff-583,1,0.038995,5802.8,53,qwen3-30b,6,9,35,1,107,34817
cdent__gabbi-238,0,0.050947,5054.2,64,qwen3-30b,9,12,37,2,129,45488
miyuchina__mistletoe-57,0,0.081726,3040.4,100,qwen3-30b,24,21,52,4,201,72970
astanin__python-tabulate-21,1,0.038409,6858.8,40,qwen3-30b,5,14,18,2,81,34294
fitbenchmarking__fitbenchmarking-604,0,0.030218,3372.5,67,qwen3-30b,8,19,29,1,135,26980
sunpy__sunpy-6423,1,0.031618,2823.0,62,qwen3-30b,10,14,35,1,125,28230
facelessuser__pymdown-extensions-1043,1,0.060246,1735.2,100,qwen3-30b,31,28,38,1,201,53792
tobymao__sqlglot-3682,0,0.051294,2289.9,100,qwen3-30b,20,30,47,9,201,45798
aiogram__aiogram-661,1,0.029426,3284.2,56,qwen3-30b,8,18,25,7,113,26274
python-pillow__Pillow-6917,1,0.059042,3294.8,68,qwen3-30b,16,18,31,4,137,52716
12rambau__sepal_ui-411,1,0.034511,4401.9,44,qwen3-30b,7,12,21,0,89,30813
streamlink__streamlink-3677,1,0.083349,5724.5,70,qwen3-30b,13,14,40,7,141,74419
sqlfluff__sqlfluff-866,1,0.061077,9088.9,71,qwen3-30b,6,17,44,1,143,54533
biolink__biolink-model-toolkit-25,1,0.051101,9125.2,39,qwen3-30b,5,10,21,0,79,45626
zopefoundation__zope.security-81,1,0.054405,12144.0,50,qwen3-30b,4,13,30,4,101,48576
xgi-org__xgi-525,0,0.053009,5258.9,64,qwen3-30b,9,23,25,0,129,47330
yt-project__unyt-476,0,0.048164,2687.8,86,qwen3-30b,16,24,43,6,173,43004
AzureAD__microsoft-authentication-library-for-python-730,0,0.069207,5149.4,60,qwen3-30b,12,17,27,5,121,61792
joke2k__faker-1937,1,0.035968,8028.6,36,qwen3-30b,4,10,19,1,73,32114
python-cmd2__cmd2-782,1,0.048005,5357.7,55,qwen3-30b,8,12,31,1,111,42862
Duke-GCB__DukeDSClient-61,0,0.052342,5841.7,48,qwen3-30b,8,13,24,0,97,46734
CWorthy-ocean__C-Star-226,0,0.070733,3947.1,87,qwen3-30b,16,18,49,9,175,63154
simphony__simphony-remote-117,1,0.034159,3388.8,54,qwen3-30b,9,21,20,6,109,30499
argilla-io__argilla-2337,0,0.08465,5038.7,81,qwen3-30b,15,27,35,15,163,75580
openradar__xradar-118,0,0.040554,4526.2,49,qwen3-30b,8,15,23,2,99,36209
tonioo__sievelib-86,1,0.054751,3491.8,69,qwen3-30b,14,21,32,2,139,48884
tobymao__sqlglot-4106,0,0.050146,3198.1,100,qwen3-30b,14,33,51,9,201,44774
pretalx__pretalx-1887,0,0.088321,4381.0,100,qwen3-30b,18,33,46,2,201,78858
streamlink__streamlink-1878,0,0.032571,4846.9,47,qwen3-30b,6,9,28,0,95,29082
materialsvirtuallab__monty-728,1,0.056227,5578.1,61,qwen3-30b,9,16,29,3,123,50203
MAIF__arta-37,0,0.074248,2651.7,100,qwen3-30b,25,24,49,9,201,66292
ucfopen__canvasapi-110,1,0.025629,3813.8,49,qwen3-30b,6,11,27,3,99,22883
tobymao__sqlglot-702,1,0.034881,5190.6,52,qwen3-30b,6,10,31,6,105,31144
Veinar__envcloak-19,0,0.05371,3688.9,65,qwen3-30b,13,25,25,3,131,47956
automl__SMAC3-368,1,0.044605,2489.1,77,qwen3-30b,16,19,36,4,155,39826
tobymao__sqlglot-3272,1,0.047203,7024.2,100,qwen3-30b,6,31,61,1,201,42146
lepture__mistune-277,0,0.031907,7122.2,36,qwen3-30b,4,10,18,1,73,28489
Yelp__py_zipkin-107,1,0.046618,10405.8,39,qwen3-30b,4,8,21,3,79,41623
pytorch__ignite-525,1,0.046464,2963.2,55,qwen3-30b,14,6,31,4,111,41486
Qiskit__qiskit-bot-11,0,0.072155,2577.0,82,qwen3-30b,25,23,31,9,165,64424
tinosulzer__PyBaMM-170,1,0.049882,2969.2,73,qwen3-30b,15,21,32,6,147,44538
ESSS__conda-devenv-114,1,0.057695,7359.0,41,qwen3-30b,7,10,20,0,83,51513
reata__sqllineage-503,1,0.035984,5354.8,45,qwen3-30b,6,8,27,3,91,32129
falconry__falcon-2366,0,0.048198,1593.9,100,qwen3-30b,27,26,45,15,201,43034
pypa__setuptools_scm-538,1,0.042143,5375.3,52,qwen3-30b,7,8,34,3,105,37627
stfc__PSyclone-2309,0,0.05193,1717.3,100,qwen3-30b,27,24,47,17,201,46366
scikit-hep__hist-238,1,0.060125,3157.8,83,qwen3-30b,17,13,46,3,167,53683
PennyLaneAI__pennylane-963,0,0.058534,5806.9,97,qwen3-30b,9,34,50,1,195,52262
pynamodb__PynamoDB-386,1,0.057334,2694.3,100,qwen3-30b,19,25,54,7,201,51192
encode__starlette-1643,0,0.056652,4215.2,56,qwen3-30b,12,11,30,1,113,50582
frictionlessdata__frictionless-py-659,0,0.055284,4936.1,65,qwen3-30b,10,15,37,3,131,49360
simphony__tornado-webapi-19,1,0.024158,4313.9,51,qwen3-30b,5,20,24,8,103,21570
gammapy__gammapy-5149,0,0.034198,5088.9,46,qwen3-30b,6,12,22,1,93,30534
ModellingWebLab__cellmlmanip-20,0,0.052699,5881.6,45,qwen3-30b,8,12,22,2,91,47052
RemDelaporteMathurin__FESTIM-567,1,0.068849,5122.7,64,qwen3-30b,12,19,30,0,129,61473
jaraco__zipp-60,1,0.044223,7896.9,56,qwen3-30b,5,12,34,0,113,39484
opsmill__infrahub-sdk-python-47,1,0.076852,6238.0,71,qwen3-30b,11,19,38,1,143,68618
TRoboto__Maha-103,1,0.048195,5378.9,54,qwen3-30b,8,18,23,2,109,43032
algorand__pyteal-539,1,0.051465,5743.8,41,qwen3-30b,8,6,23,4,83,45950
numba__numba-6083,1,0.038399,4285.6,55,qwen3-30b,8,12,32,6,111,34285
zopefoundation__ZODB-260,1,0.057157,7290.4,59,qwen3-30b,7,20,29,8,119,51033
optuna__optuna-1285,1,0.060431,5395.6,60,qwen3-30b,10,8,38,3,121,53956
jpadilla__pyjwt-608,1,0.066121,7379.6,51,qwen3-30b,8,12,27,2,103,59037
encode__httpx-861,1,0.049662,4434.1,53,qwen3-30b,10,14,25,1,107,44341
microsoft__debugpy-54,0,0.067952,7584.0,69,qwen3-30b,8,22,34,2,139,60672
wemake-services__wemake-python-styleguide-3178,1,0.05919,3523.2,76,qwen3-30b,15,12,44,4,153,52848
alexander-akhmetov__python-telegram-77,1,0.044246,4389.5,60,qwen3-30b,9,13,33,3,121,39506
ably__ably-python-161,1,0.053486,4775.5,58,qwen3-30b,10,14,30,4,117,47755
iterative__dvc-1494,0,0.061174,3413.8,100,qwen3-30b,16,41,36,11,201,54620
bridgecrewio__checkov-1061,0,0.04457,9948.6,53,qwen3-30b,4,11,31,1,107,39794
sayanarijit__expandvars-41,1,0.061522,4993.7,48,qwen3-30b,11,11,22,1,97,54930
iterative__dvc-1457,0,0.046393,3186.3,58,qwen3-30b,13,9,34,19,117,41422
googleapis__python-firestore-254,0,0.07176,12814.3,55,qwen3-30b,5,10,37,3,111,64072
hgrecco__pint-1111,1,0.051686,9229.6,42,qwen3-30b,5,12,20,0,85,46148
ReproNim__neurodocker-623,0,0.073468,4373.1,100,qwen3-30b,15,22,57,7,201,65597
troycomi__reportseff-29,0,0.062607,3288.2,66,qwen3-30b,17,10,35,2,133,55899
streamlink__streamlink-5774,0,0.054249,5381.9,50,qwen3-30b,9,11,27,7,101,48437
whatshap__whatshap-501,0,0.047248,4218.6,59,qwen3-30b,10,11,35,4,119,42186
cekit__cekit-443,1,0.03484,7776.9,36,qwen3-30b,4,12,17,4,73,31108
NeurodataWithoutBorders__pynwb-381,1,0.039335,5853.4,61,qwen3-30b,6,14,37,3,123,35120
smarie__python-makefun-99,1,0.059081,5861.2,57,qwen3-30b,9,13,32,4,115,52751
ioos__erddapy-155,1,0.051955,5154.2,47,qwen3-30b,9,14,20,3,95,46388
awdeorio__mailmerge-155,1,0.061368,7827.5,42,qwen3-30b,7,11,20,0,85,54792
optuna__optuna-3545,1,0.03666,2975.6,65,qwen3-30b,11,13,27,3,131,32732
cunla__fakeredis-py-303,1,0.059804,4449.7,75,qwen3-30b,12,17,42,2,151,53396
lincc-frameworks__nested-pandas-139,1,0.04977,7406.2,42,qwen3-30b,6,13,20,0,85,44438
beeware__briefcase-912,1,0.089836,3208.4,100,qwen3-30b,25,25,45,15,201,80211
PennyLaneAI__pennylane-5851,1,0.04332,6446.5,51,qwen3-30b,6,15,24,0,103,38679
dwavesystems__dwave-system-276,1,0.049902,3712.9,69,qwen3-30b,12,9,42,1,139,44555
astropy__specutils-1053,1,0.027712,2474.2,54,qwen3-30b,10,17,22,4,109,24742
iterative__dvc-1273,0,0.042237,3771.2,58,qwen3-30b,10,16,23,4,117,37712
pypa__setuptools_scm-731,0,0.048665,6207.3,50,qwen3-30b,7,9,31,4,101,43451
kivy__kivy-7946,0,0.040289,2997.7,64,qwen3-30b,12,14,33,1,129,35973
ethereum__web3.py-3469,0,0.077576,3298.3,89,qwen3-30b,21,22,38,4,179,69264
Clinical-Genomics__scout-676,0,0.065839,4898.8,95,qwen3-30b,12,42,32,6,191,58785
fgmacedo__python-statemachine-425,0,0.05937,2789.9,100,qwen3-30b,19,28,49,3,201,53009
mesonbuild__meson-12210,1,0.045125,5755.7,47,qwen3-30b,7,11,25,4,95,40290
PennyLaneAI__pennylane-3386,0,0.062334,7950.7,100,qwen3-30b,7,32,57,8,201,55655
pre-commit__pre-commit-2154,1,0.03254,7263.5,39,qwen3-30b,4,9,21,0,79,29054
canonical__charmcraft-1759,0,0.090349,5377.9,89,qwen3-30b,15,27,44,4,179,80669
tobymao__sqlglot-767,0,0.024157,3594.8,53,qwen3-30b,6,10,32,7,107,21569
pre-commit__pre-commit-hooks-483,1,0.0564,2650.4,64,qwen3-30b,19,10,30,0,129,50357
pandas-dev__pandas-61158,0,0.035703,3984.7,58,qwen3-30b,8,11,35,10,117,31878
conan-io__conan-14296,0,0.085698,7651.6,80,qwen3-30b,10,31,35,0,161,76516
OpenMined__PySyft-2560,0,0.069269,4417.7,100,qwen3-30b,14,32,47,1,201,61847
mikedh__trimesh-851,0,0.071779,2464.9,100,qwen3-30b,26,23,48,6,201,64088
pytorch__ignite-1423,0,0.068849,2276.7,100,qwen3-30b,27,38,32,4,201,61472
stitchfix__nodebook-8,1,0.044701,3326.0,53,qwen3-30b,12,7,29,4,107,39912
omni-us__jsonargparse-527,0,0.053868,3435.5,100,qwen3-30b,14,41,43,15,201,48096
moeyensj__difi-29,0,0.057298,3410.6,57,qwen3-30b,15,16,24,2,115,51158
omni-us__jsonargparse-562,1,0.035777,3993.0,49,qwen3-30b,8,12,25,0,99,31944
pytorch__ignite-1099,0,0.071214,2890.2,80,qwen3-30b,22,15,37,2,161,63584
Sceptre__sceptre-1372,0,0.045129,3663.1,66,qwen3-30b,11,12,39,5,133,40294
Materials-Consortia__optimade-python-tools-582,1,0.057793,4300.1,54,qwen3-30b,12,11,28,4,109,51601
facelessuser__soupsieve-80,1,0.044292,7909.3,40,qwen3-30b,5,12,20,0,81,39546
getsentry__responses-235,1,0.042146,2687.9,72,qwen3-30b,14,10,44,11,145,37630
NCAS-CMS__cfdm-250,1,0.038581,3827.5,52,qwen3-30b,9,10,28,3,105,34448
zarr-developers__VirtualiZarr-191,1,0.063615,5163.5,67,qwen3-30b,11,17,36,0,135,56799
chimpler__pyhocon-173,1,0.049697,6338.9,47,qwen3-30b,7,11,25,4,95,44372
Ouranosinc__xclim-336,1,0.059911,8915.3,56,qwen3-30b,6,14,32,2,113,53492
iossifovlab__gpf-446,0,0.049619,3691.9,100,qwen3-30b,12,31,46,5,201,44303
IAMconsortium__pyam-772,0,0.07294,3256.2,80,qwen3-30b,20,22,34,1,161,65125
ahawker__ulid-59,1,0.068511,8738.6,50,qwen3-30b,7,10,29,1,101,61170
airspeed-velocity__asv-704,1,0.071257,2766.2,86,qwen3-30b,23,22,37,9,173,63622
zarr-developers__zarr-python-2795,0,0.037099,2548.0,100,qwen3-30b,13,41,44,6,201,33124
TDAmeritrade__stumpy-583,1,0.054961,4089.4,72,qwen3-30b,12,22,31,3,145,49072
RightBrain-Networks__auto-semver-51,1,0.044377,5660.4,43,qwen3-30b,7,11,17,0,87,39623
aiogram__aiogram-1247,1,0.03815,3784.8,61,qwen3-30b,9,18,31,5,123,34063
shapely__shapely-2094,0,0.038651,4930.0,69,qwen3-30b,7,12,45,3,139,34510
graphql-python__graphene-1473,1,0.040127,5971.3,38,qwen3-30b,6,6,21,3,77,35828
cityofaustin__knackpy-110,1,0.086734,9680.1,53,qwen3-30b,8,20,21,2,107,77441
scikit-rf__scikit-rf-502,0,0.040446,9028.1,48,qwen3-30b,4,15,26,3,97,36112
zalando-stups__senza-565,0,0.087388,7802.5,69,qwen3-30b,10,17,32,1,139,78025
reata__sqllineage-63,1,0.040181,7175.1,40,qwen3-30b,5,9,23,3,81,35876
mir-dataset-loaders__mirdata-232,0,0.034902,10387.6,36,qwen3-30b,3,9,21,1,73,31163
mne-tools__mne-python-12080,0,0.056398,2962.1,100,qwen3-30b,17,23,57,5,201,50355
dwavesystems__dwave-system-373,1,0.05271,1810.1,100,qwen3-30b,26,9,59,10,201,47062
pybamm-team__PyBaMM-544,0,0.041765,2486.0,57,qwen3-30b,15,7,31,14,115,37290
python-cmd2__cmd2-595,0,0.04757,6067.6,61,qwen3-30b,7,21,31,3,123,42473
planetarypy__pvl-64,1,0.051936,7728.5,45,qwen3-30b,6,14,21,3,91,46371
hylang__hy-1955,1,0.037269,3697.3,57,qwen3-30b,9,12,33,3,115,33276
geopandas__geopandas-1173,0,0.042071,2683.1,70,qwen3-30b,14,23,30,0,141,37563
wemake-services__wemake-python-styleguide-1869,0,0.053542,5975.7,45,qwen3-30b,8,14,15,3,91,47805
pre-commit__pre-commit-778,0,0.045574,5086.4,61,qwen3-30b,8,14,27,6,123,40692
pre-commit__pre-commit-933,1,0.057108,10197.9,43,qwen3-30b,5,12,21,3,87,50989
googleapis__synthtool-906,0,0.05932,4413.7,60,qwen3-30b,12,16,28,0,121,52964
dcs4cop__xcube-419,1,0.048041,6127.7,50,qwen3-30b,7,12,26,1,101,42894
pybel__pybel-327,0,0.038206,3101.1,61,qwen3-30b,11,16,30,7,123,34112
PMEAL__OpenPNM-2265,1,0.036701,4681.3,53,qwen3-30b,7,15,27,0,107,32769
xonsh__xonsh-3107,0,0.0693,3867.2,100,qwen3-30b,16,34,47,9,201,61875
pypa__cibuildwheel-1430,0,0.045206,5766.1,47,qwen3-30b,7,12,23,1,95,40363
buildout__buildout-452,0,0.024324,3102.6,59,qwen3-30b,7,22,26,17,119,21718
nteract__papermill-564,1,0.050821,6482.3,63,qwen3-30b,7,21,23,0,127,45376
sphinx-gallery__sphinx-gallery-480,1,0.048563,4336.0,57,qwen3-30b,10,14,29,1,115,43360
ncclient__ncclient-412,0,0.057583,5712.6,61,qwen3-30b,9,11,31,5,123,51414
networkx__networkx-7928,0,0.039888,3957.1,59,qwen3-30b,9,13,33,0,119,35614
frictionlessdata__frictionless-py-1117,0,0.057648,2451.0,100,qwen3-30b,21,32,44,23,201,51472
larq__zookeeper-241,0,0.048171,4778.9,52,qwen3-30b,9,14,24,4,105,43010
beeware__briefcase-1638,1,0.037068,8274.1,37,qwen3-30b,4,11,17,5,75,33096
microsoft__pybryt-150,0,0.084558,6291.5,66,qwen3-30b,12,15,33,3,133,75498
adamboche__python-marshmallow-union-29,1,0.032821,2664.0,56,qwen3-30b,11,8,34,5,113,29304
asottile__pyupgrade-133,1,0.032209,4793.0,47,qwen3-30b,6,14,23,1,95,28758
dask__dask-6564,0,0.041779,1434.7,100,qwen3-30b,26,22,47,4,201,37302
NCAS-CMS__cfdm-212,1,0.059977,3825.0,77,qwen3-30b,14,20,36,9,155,53550
moogar0880__PyTrakt-120,1,0.059065,4394.7,69,qwen3-30b,12,21,31,3,139,52736
oasis-open__cti-taxii-server-101,1,0.053096,7901.2,52,qwen3-30b,6,10,23,0,105,47408
gwpy__gwosc-75,0,0.055715,7106.5,55,qwen3-30b,7,9,34,4,111,49746
simpeg__simpeg-1237,0,0.05864,5235.8,63,qwen3-30b,10,9,40,2,127,52358
mit-ll-responsible-ai__hydra-zen-459,0,0.082871,6726.5,83,qwen3-30b,11,27,41,9,167,73992
joke2k__faker-2007,1,0.031917,9499.0,47,qwen3-30b,3,11,29,1,95,28497
roboflow__supervision-1739,0,0.049043,3368.3,62,qwen3-30b,13,12,29,5,125,43788
Azure__msrest-for-python-189,1,0.05177,2889.0,75,qwen3-30b,16,24,31,14,151,46223
networkx__networkx-2386,0,0.046867,4649.5,47,qwen3-30b,9,12,23,0,95,41845
narwhals-dev__narwhals-394,0,0.037941,2605.8,67,qwen3-30b,13,14,37,3,135,33876
reata__sqllineage-431,0,0.04875,2901.8,66,qwen3-30b,15,16,30,4,133,43527
Instagram__MonkeyType-306,0,0.053959,3011.1,59,qwen3-30b,16,7,31,4,119,48177
mmaelicke__scikit-gstat-71,0,0.038482,6871.7,50,qwen3-30b,5,14,29,0,101,34358
mir-dataset-loaders__mirdata-249,1,0.042267,9434.5,44,qwen3-30b,4,14,23,4,89,37738
PennyLaneAI__pennylane-1329,1,0.052984,5913.4,65,qwen3-30b,8,14,38,5,131,47308
reframe-hpc__reframe-3313,0,0.046721,5214.3,57,qwen3-30b,8,14,33,4,115,41715
Textualize__textual-3459,1,0.071207,4890.6,75,qwen3-30b,13,22,37,5,151,63578
tobymao__sqlglot-3290,0,0.039664,4426.8,65,qwen3-30b,8,15,38,1,131,35414
canonical__charmcraft-1823,0,0.074189,3680.0,90,qwen3-30b,18,18,51,5,181,66240
borgbackup__borgstore-88,1,0.062637,11185.1,41,qwen3-30b,5,9,25,2,83,55926
google__latexify_py-47,1,0.034791,3106.3,47,qwen3-30b,10,9,23,3,95,31063
conan-io__conan-17531,0,0.034004,6072.2,44,qwen3-30b,5,10,26,1,89,30361
