instance_id,task_complexity,task_domain_knowledge,task_files_scope,task_modification_scope,task_testing_clarity,task_debugging_difficulty,task_edge_case_risk,task_regression_risk,task_difficulty_mean,cond_read_edit_ratio,cond_cost,cond_loop_count,cond_tokens_per_edit,cond_action_pct_edit,cond_n_reads,cond_total_errors
django__django-12700,3,2,1,2,2,2,4,2,2.25,0.8888888888888888,0.08848313333333332,4.888888888888889,225773.33333333334,0.140625,0.8888888888888888,0.4444444444444444
django__django-12708,3,4,2,3,2,2,4,4,3.0,1.6666666666666667,0.07826179999999996,4.0,209248.33333333334,0.1666666666666665,1.6666666666666667,0.3333333333333333
django__django-12747,2,3,2,2,1,2,3,3,2.25,0.3888888888888889,0.19424,7.555555555555555,76210.83333333333,0.5806451612903224,3.111111111111111,0.8888888888888888
django__django-12856,2,3,2,2,2,2,3,2,2.25,2.6666666666666665,0.14169706666666662,7.555555555555555,434342.6666666667,0.08035714285714282,2.6666666666666665,0.4444444444444444
django__django-12908,3,4,2,3,2,3,4,3,3.0,0.6666666666666666,0.0791334,4.666666666666667,113465.33333333333,0.2727272727272727,1.3333333333333333,0.3333333333333333
django__django-12915,2,3,1,2,4,2,2,2,2.25,0.4444444444444444,0.1360374,8.0,129724.59259259258,0.2596153846153844,1.3333333333333333,0.4444444444444444
django__django-12983,2,1,1,2,1,1,3,2,1.625,1.2307692307692308,0.16142455384615387,8.0,364605.53846153844,0.1015625,1.2307692307692308,1.2307692307692308
django__django-13028,2,3,2,2,4,3,2,2,2.5,1.2,0.12005136000000001,5.2,271445.2,0.125,1.2,1.2
django__django-13033,4,4,3,3,2,4,4,4,3.5,0.5714285714285714,0.12785214285714286,3.4285714285714284,182480.85714285713,0.20588235294117643,0.5714285714285714,0.0
django__django-13158,3,3,2,2,2,3,4,3,2.75,2.1818181818181817,0.11968336363636363,5.090909090909091,320056.7272727273,0.11,2.1818181818181817,0.7272727272727273
django__django-13220,2,2,1,2,1,1,3,2,1.75,0.8571428571428571,0.16104994285714286,4.0,172573.7142857143,0.26923076923076916,1.7142857142857142,0.5714285714285714
django__django-13230,2,3,2,2,2,1,2,2,2.0,1.0,0.08060362499999996,4.0,225777.0,0.1428571428571428,1.0,0.5
django__django-13265,2,3,2,2,4,2,3,2,2.5,3.6,0.2066628,5.6,599113.6,0.0806451612903225,3.6,0.4
django__django-13315,3,4,2,2,2,3,4,3,2.875,0.6956521739130435,0.07442932173913043,5.565217391304348,201098.78260869565,0.13690476190476186,0.6956521739130435,0.6956521739130435
django__django-13321,2,3,2,2,3,2,3,2,2.375,0.7017543859649124,0.11146364210526316,6.315789473684211,103329.40350877195,0.33928571428571414,2.1052631578947367,0.8421052631578947
django__django-13401,3,4,2,2,4,2,4,4,3.125,0.48,0.09490737599999999,4.8,129379.04,0.2604166666666666,0.96,0.32
django__django-13447,2,3,2,2,3,1,2,2,2.125,0.23529411764705882,0.12198988235294117,8.0,81999.41176470589,0.3863636363636363,0.9411764705882353,0.47058823529411764
django__django-13448,3,3,2,2,3,3,3,3,2.75,0.3076923076923077,0.4023511636363637,5.454545454545454,96792.13986013987,1.0833333333333333,4.0,0.7272727272727273
django__django-13551,2,3,2,2,4,2,3,3,2.625,1.9047619047619047,0.1181732571428571,7.238095238095238,340140.95238095237,0.09374999999999996,1.9047619047619047,0.38095238095238093
django__django-13590,2,3,1,1,4,2,3,2,2.25,0.8888888888888888,0.12613933333333327,5.777777777777778,182656.66666666666,0.1956521739130434,1.7777777777777777,1.3333333333333333
django__django-13658,1,2,1,1,4,2,2,2,1.875,0.26666666666666666,0.0529028,1.0666666666666667,51577.6,0.46875,0.5333333333333333,1.0666666666666667
django__django-13660,2,2,1,1,4,2,3,2,2.125,0.47058823529411764,0.0667693411764706,2.3529411764705883,149240.0,0.265625,0.47058823529411764,0.0
django__django-13710,2,3,2,2,1,1,2,2,1.875,0.5333333333333333,0.18597607999999996,10.133333333333333,159995.33333333334,0.2586206896551724,2.1333333333333333,0.5333333333333333
django__django-13757,3,4,2,2,2,3,4,3,2.875,0.46376811594202894,0.10596777391304343,4.173913043478261,95185.04347826086,0.39204545454545436,1.391304347826087,0.34782608695652173
django__django-13768,1,2,1,1,4,1,2,1,1.625,0.41025641025641024,0.07556427692307686,3.6923076923076925,56709.33333333334,0.5416666666666666,1.2307692307692308,0.6153846153846154
django__django-13925,3,4,1,2,3,3,4,3,2.875,0.6956521739130435,0.1492364869565217,6.608695652173913,143399.30434782608,0.28750000000000003,2.0869565217391304,0.34782608695652173
django__django-13933,2,2,1,2,4,1,2,2,2.0,0.5833333333333334,0.19470824999999994,8.5,92732.33333333331,0.3870967741935484,3.5,0.5
django__django-13964,4,4,3,3,2,4,4,4,3.5,2.0,0.18409499999999998,5.714285714285714,370708.5714285714,0.11290322580645148,2.0,0.2857142857142857
django__django-14016,2,3,1,2,1,2,3,2,2.0,0.3333333333333333,0.34449322499999996,10.5,155302.5,0.4,2.0,0.5
django__django-14017,2,3,1,2,1,1,2,2,1.75,0.7619047619047619,0.401298,10.285714285714286,313561.71428571426,0.17500000000000002,2.2857142857142856,0.5714285714285714
django__django-14155,2,2,1,2,2,1,3,2,1.875,1.2,0.26299608,8.533333333333333,178683.6,0.2419354838709677,4.8,1.0666666666666667
django__django-14238,2,3,1,1,4,2,2,2,2.125,1.411764705882353,0.11098517647058824,7.0588235294117645,311576.9411764706,0.10625000000000001,1.411764705882353,0.47058823529411764
django__django-14382,1,1,1,1,1,1,1,1,1.0,1.0,0.0969290999999999,4.0,214560.0,0.1428571428571428,1.0,0.0
django__django-14411,1,2,1,1,4,1,1,1,1.5,1.3333333333333333,0.1164738,8.0,306700.6666666667,0.08823529411764705,1.3333333333333333,0.6666666666666666
django__django-14534,2,3,1,1,4,2,4,3,2.5,0.5333333333333333,0.14326926,8.0,127268.26666666668,0.24193548387096775,1.6,1.2
django__django-14580,2,3,1,2,1,2,3,2,2.0,1.5,0.124523625,6.5,332602.5,0.125,1.5,0.5
django__django-14608,2,2,2,2,4,1,2,2,2.125,0.9411764705882353,0.11920898823529408,7.529411764705882,177112.0,0.1847826086956521,1.8823529411764706,0.9411764705882353
django__django-14667,2,3,2,2,1,2,3,3,2.25,2.6666666666666665,0.15890906666666663,10.222222222222221,429876.44444444444,0.08035714285714282,2.6666666666666665,0.8888888888888888
django__django-14672,2,3,1,1,2,2,2,2,1.875,1.0666666666666667,0.06354992,2.1333333333333333,128325.86666666667,0.26785714285714274,1.0666666666666667,0.5333333333333333
django__django-14730,2,3,2,2,1,1,2,2,1.875,0.6,0.27264599999999994,7.466666666666667,104432.0,0.4838709677419354,4.8,0.5333333333333333
django__django-14752,1,2,1,2,1,1,1,2,1.375,0.7272727272727273,0.13373705454545456,8.0,157584.0,0.171875,1.4545454545454546,0.7272727272727273
django__django-14787,2,3,1,2,2,2,3,2,2.125,0.9411764705882353,0.1003986352941176,6.588235294117647,267612.70588235295,0.12499999999999999,0.9411764705882353,0.47058823529411764
django__django-14855,2,3,1,1,4,2,3,3,2.375,1.6842105263157894,0.09772667368421048,7.157894736842105,252660.63157894736,0.10326086956521735,1.6842105263157894,0.42105263157894735
django__django-14915,2,3,1,2,4,2,3,2,2.375,0.8421052631578947,0.04393433684210526,1.6842105263157894,97590.31578947368,0.2638888888888889,0.8421052631578947,0.42105263157894735
django__django-14997,4,4,2,3,3,3,4,4,3.375,4.444444444444445,0.17608622222222223,4.7407407407407405,510290.6666666667,0.10227272727272727,4.444444444444445,0.5925925925925926
django__django-14999,3,4,2,3,2,3,4,3,3.0,0.6666666666666666,0.0804445,4.666666666666667,200607.33333333334,0.1428571428571428,0.6666666666666666,0.6666666666666666
django__django-15061,2,3,2,2,3,2,3,4,2.625,2.2857142857142856,0.1059712,8.380952380952381,294292.1904761905,0.09722222222222213,2.2857142857142856,0.38095238095238093
django__django-15202,2,2,2,2,1,1,2,2,1.75,2.2857142857142856,0.27703654285714285,14.857142857142858,743024.0,0.05833333333333327,2.2857142857142856,0.5714285714285714
django__django-15213,3,4,2,2,2,3,3,2,2.625,0.6190476190476191,,,,,4.9523809523809526,0.38095238095238093
django__django-15252,3,4,2,3,3,2,4,3,3.0,0.5,0.15086385,6.333333333333333,103231.16666666667,0.38709677419354827,2.0,0.6666666666666666
django__django-15320,2,3,1,1,1,1,2,2,1.625,3.6923076923076925,0.21255313846153845,9.846153846153847,556969.8461538461,0.060185185185185126,3.6923076923076925,0.6153846153846154
django__django-15347,2,2,2,2,1,2,2,2,1.875,2.1333333333333333,0.12895183999999996,6.4,390878.4,0.09868421052631575,2.1333333333333333,0.5333333333333333
django__django-15388,3,3,2,2,4,4,3,3,3.0,1.1111111111111112,0.2713466999999999,5.666666666666667,197210.11111111112,0.29032258064516125,3.3333333333333335,0.6666666666666666
django__django-15400,2,3,1,1,2,1,3,2,1.875,1.6,0.12587536000000002,8.0,317635.2,0.09375,1.6,0.5333333333333333
django__django-15498,2,2,1,1,4,2,3,2,2.125,2.3529411764705883,0.12067976470588236,5.176470588235294,302079.0588235294,0.10625000000000001,2.3529411764705883,0.47058823529411764
django__django-15695,3,4,2,2,2,3,4,3,2.875,1.2753623188405796,0.27978761739130437,4.869565217391305,186337.97101449274,0.2782258064516129,3.8260869565217392,0.6956521739130435
django__django-15738,4,4,2,3,3,4,4,4,3.5,,,,,,6.0,0.2857142857142857
django__django-15781,3,3,2,3,2,2,3,2,2.5,0.8,0.05497428,2.4,62606.0,0.4545454545454545,1.6,0.4
django__django-15789,2,2,2,2,2,1,2,2,1.875,1.6,0.08581744,5.866666666666666,234000.0,0.1171875,1.6,1.0666666666666667
django__django-15790,2,3,1,2,2,2,3,2,2.125,0.47058823529411764,0.12579331764705878,8.470588235294118,175104.23529411765,0.1847826086956521,0.9411764705882353,0.47058823529411764
django__django-15814,3,4,2,2,4,3,3,3,3.0,2.6666666666666665,0.184941,8.0,453931.0,0.09677419354838698,2.6666666666666665,0.3333333333333333
django__django-15819,2,3,1,2,2,1,3,2,2.0,0.25,0.19591305,9.5,87696.58333333333,0.48,1.5,0.5
django__django-15851,2,2,1,2,1,1,2,2,1.625,0.9230769230769231,0.0915599076923077,4.3076923076923075,130552.0,0.21666666666666662,1.8461538461538463,1.2307692307692308
django__django-15902,2,3,2,2,3,2,3,2,2.375,1.4736842105263157,0.2158387578947369,9.263157894736842,345139.36842105264,0.1319444444444443,2.9473684210526314,0.8421052631578947
django__django-15996,2,3,1,2,2,2,3,2,2.125,0.9411764705882353,0.11976162352941178,8.0,309911.0588235294,0.09659090909090898,0.9411764705882353,0.9411764705882353
django__django-16041,2,3,2,2,1,2,2,2,2.0,1.0,0.10740885,6.5,271015.5,0.111111111111111,1.0,0.5
django__django-16046,1,1,1,1,4,1,3,1,1.625,1.2307692307692308,0.11685018461538463,8.615384615384615,321995.07692307694,0.08552631578947364,1.2307692307692308,1.2307692307692308
django__django-16139,2,2,1,1,4,2,2,2,2.0,1.5,0.13908974999999996,8.0,318816.0,0.0869565217391304,1.5,0.5
django__django-16229,3,4,2,2,3,3,4,3,3.0,3.0,0.1620703,8.333333333333334,555011.6666666666,0.081081081081081,3.0,0.6666666666666666
django__django-16255,1,2,1,1,4,1,2,1,1.625,0.6153846153846154,0.05169036923076923,1.8461538461538463,97303.38461538461,0.2708333333333332,0.6153846153846154,0.6153846153846154
django__django-16379,2,2,1,2,2,2,3,2,2.0,0.5,0.0432633,1.0,84446.0,0.4,0.5,0.0
django__django-16400,3,4,2,2,3,3,3,3,2.875,,,,,,2.782608695652174,1.391304347826087
django__django-16408,4,4,2,3,4,4,4,4,3.625,,,,,,5.241379310344827,0.27586206896551724
django__django-16527,2,2,1,1,4,2,2,2,2.0,1.0,0.08780182499999994,6.5,201144.0,0.125,1.0,0.0
django__django-16595,2,3,1,2,4,2,3,2,2.375,1.263157894736842,0.11695907368421053,7.157894736842105,292761.6842105263,0.10326086956521735,1.263157894736842,0.8421052631578947
django__django-16816,3,3,2,2,3,3,3,2,2.625,2.2857142857142856,0.22918931428571426,8.761904761904763,508838.85714285716,0.08203125,2.2857142857142856,0.7619047619047619
django__django-16820,3,4,2,3,3,3,3,3,3.0,0.6666666666666666,0.28716516666666664,7.0,242483.33333333334,0.1999999999999998,1.3333333333333333,0.3333333333333333
django__django-16873,2,3,2,2,1,2,2,2,2.0,0.75,0.10084214999999995,5.0,133537.5,0.2222222222222222,1.5,0.5
django__django-16910,3,4,2,2,2,3,4,3,2.875,2.782608695652174,0.20392836521739136,6.260869565217392,446842.7826086957,0.08712121212121211,2.782608695652174,0.34782608695652173
django__django-17051,2,3,2,2,2,2,3,3,2.375,1.6842105263157894,0.19471578947368418,10.105263157894736,286388.0,0.13571428571428562,3.3684210526315788,0.42105263157894735
django__django-17087,3,4,2,2,2,3,3,3,2.75,0.7272727272727273,0.09336616363636363,5.454545454545454,231453.45454545456,0.1375,0.7272727272727273,0.36363636363636365
matplotlib__matplotlib-18869,1,1,2,1,2,1,2,1,1.375,0.5454545454545454,0.2561103272727272,10.181818181818182,99308.36363636363,0.4074074074074074,4.363636363636363,2.1818181818181817
matplotlib__matplotlib-22711,2,2,1,1,4,1,2,2,1.875,1.422222222222222,0.28329703999999994,8.533333333333333,231298.13333333333,0.1814516129032258,4.266666666666667,3.7333333333333334
matplotlib__matplotlib-22835,3,3,2,2,3,1,3,2,2.375,0.8421052631578947,0.06255183157894736,2.9473684210526314,139497.68421052632,0.1979166666666666,0.8421052631578947,1.6842105263157894
matplotlib__matplotlib-23299,3,4,2,2,2,4,3,3,2.875,2.0869565217391304,0.16009346086956525,6.608695652173913,203667.13043478262,0.18548387096774174,4.173913043478261,0.6956521739130435
matplotlib__matplotlib-23314,2,3,2,2,1,2,2,2,2.0,1.0,0.164857875,12.5,414922.5,0.064516129032258,1.0,2.0
matplotlib__matplotlib-23476,3,3,2,2,2,4,3,2,2.625,1.0158730158730158,0.18492337142857143,8.761904761904763,162124.0634920635,0.23161764705882337,3.0476190476190474,1.5238095238095237
matplotlib__matplotlib-23562,2,3,1,2,4,2,3,2,2.375,0.7368421052631579,0.1756619368421052,7.578947368421052,119794.52631578948,0.30645161290322576,2.9473684210526314,2.1052631578947367
matplotlib__matplotlib-23563,4,3,2,3,4,4,4,3,3.375,0.14814814814814814,0.32833266666666666,4.444444444444445,48617.05349794239,1.9596774193548387,2.6666666666666665,0.2962962962962963
matplotlib__matplotlib-23913,1,2,1,2,1,1,1,2,1.375,2.1818181818181817,0.23251014545454537,13.818181818181818,223228.8484848485,0.1473214285714285,6.545454545454546,3.6363636363636362
matplotlib__matplotlib-23964,2,3,1,2,1,2,2,2,1.875,1.6,0.07702192,3.2,174340.26666666666,0.1875,1.6,1.0666666666666667
matplotlib__matplotlib-23987,2,3,2,2,2,2,3,2,2.25,5.333333333333333,0.1979263333333333,8.444444444444445,555122.6666666666,0.0703125,5.333333333333333,3.111111111111111
matplotlib__matplotlib-24149,2,2,1,2,1,2,3,3,2.0,1.5,0.17439014999999994,10.5,479261.0,0.0714285714285714,1.5,2.0
matplotlib__matplotlib-24265,2,2,2,2,2,2,2,2,2.0,0.5,0.18706004999999995,13.0,249245.25,0.129032258064516,1.0,4.0
matplotlib__matplotlib-24334,2,3,2,2,4,2,3,3,2.625,0.7619047619047619,0.05789508571428571,3.0476190476190474,144899.42857142858,0.20192307692307687,0.7619047619047619,0.38095238095238093
matplotlib__matplotlib-24970,2,2,1,2,4,1,2,2,2.0,1.5,0.14292285,8.0,353885.5,0.1,1.5,3.5
matplotlib__matplotlib-25079,3,3,2,2,3,3,3,3,2.75,1.8181818181818181,0.30508532727272725,6.181818181818182,239527.39393939395,0.23571428571428568,5.454545454545454,2.5454545454545454
matplotlib__matplotlib-25311,3,3,2,3,2,3,3,2,2.625,1.5238095238095237,0.15558439999999996,6.476190476190476,350401.5238095238,0.1009615384615383,1.5238095238095237,0.7619047619047619
matplotlib__matplotlib-25332,3,3,2,2,2,3,3,2,2.5,0.9333333333333333,0.16713306,7.6,196952.93333333332,0.234375,2.8,1.2
matplotlib__matplotlib-25433,4,4,2,3,2,4,4,3,3.25,3.076923076923077,0.19076824615384616,4.923076923076923,453932.6153846154,0.10483870967741923,3.076923076923077,1.2307692307692308
matplotlib__matplotlib-25442,3,4,2,2,3,3,3,2,2.75,0.7272727272727273,0.13129636363636366,4.7272727272727275,116696.60606060606,0.4125,2.1818181818181817,0.36363636363636365
matplotlib__matplotlib-25498,3,3,1,2,2,2,3,2,2.25,4.444444444444445,0.2241450666666667,6.666666666666667,590684.8888888889,0.0703125,4.444444444444445,1.7777777777777777
matplotlib__matplotlib-26011,2,3,1,2,3,2,4,4,2.625,1.5238095238095237,0.11709731428571425,6.095238095238095,281705.14285714284,0.11413043478260866,1.5238095238095237,0.7619047619047619
matplotlib__matplotlib-26020,3,3,1,2,3,2,3,2,2.375,1.894736842105263,0.3056790315789474,8.842105263157896,352283.5789473684,0.1484375,3.789473684210526,0.42105263157894735
mwaskom__seaborn-2848,3,3,2,2,2,3,3,3,2.625,0.5333333333333333,0.17643959999999997,7.238095238095238,92465.98095238095,0.4233870967741934,2.6666666666666665,3.4285714285714284
mwaskom__seaborn-3010,2,2,1,2,2,1,2,1,1.625,1.2307692307692308,0.051790246153846156,1.2307692307692308,105022.76923076923,0.325,1.2307692307692308,0.0
mwaskom__seaborn-3190,2,3,2,2,4,2,3,2,2.5,1.2,0.06802091999999996,2.8,145308.4,0.25,1.2,0.8
mwaskom__seaborn-3407,3,3,2,2,4,2,3,2,2.625,,,,,,3.0476190476190474,1.9047619047619047
pallets__flask-4045,2,3,2,2,4,1,2,2,2.25,0.6666666666666666,0.10048893333333334,5.777777777777778,131994.88888888888,0.21428571428571422,1.3333333333333333,0.8888888888888888
pallets__flask-4992,2,2,2,2,1,1,2,2,1.75,0.8571428571428571,0.1690097142857143,5.142857142857143,223257.7142857143,0.19444444444444442,1.7142857142857142,1.1428571428571428
pallets__flask-5063,2,3,2,2,2,2,3,1,2.125,0.47058823529411764,0.22218077647058823,7.529411764705882,227212.70588235295,0.22767857142857134,1.411764705882353,1.411764705882353
psf__requests-1963,3,3,1,2,2,3,4,3,2.625,0.7619047619047619,0.07672908571428567,3.0476190476190474,96593.33333333333,0.328125,1.5238095238095237,1.1428571428571428
psf__requests-2148,2,3,2,2,2,1,3,2,2.125,0.9411764705882353,0.10065529411764701,5.647058823529412,88365.9607843137,0.37499999999999994,2.823529411764706,0.9411764705882353
psf__requests-2317,2,2,1,1,4,2,3,2,2.125,0.9411764705882353,0.07678835294117647,4.235294117647059,173618.35294117648,0.15178571428571422,0.9411764705882353,1.411764705882353
psf__requests-2674,2,3,2,2,3,2,3,3,2.5,0.4,0.12092742000000004,5.2,100655.33333333334,0.394736842105263,1.2,0.4
psf__requests-3362,2,3,2,2,2,3,3,3,2.5,1.2,0.08981952,3.2,117229.2,0.263157894736842,2.4,0.8
psf__requests-863,2,2,1,2,2,1,3,2,1.875,1.6,0.07726456,3.7333333333333334,203207.46666666667,0.15624999999999994,1.6,0.5333333333333333
pydata__xarray-3364,2,3,2,3,2,1,3,3,2.375,0.5614035087719298,0.35652025263157877,5.894736842105263,142496.77192982455,0.4596774193548387,3.3684210526315788,0.8421052631578947
pydata__xarray-4094,2,3,2,2,1,2,3,2,2.125,0.7058823529411765,0.18296047058823525,8.0,247036.23529411765,0.15740740740740725,1.411764705882353,0.9411764705882353
pydata__xarray-4248,2,3,2,2,2,1,3,2,2.125,0.9411764705882353,0.20617510588235288,7.0588235294117645,151309.76470588235,0.2741935483870967,3.764705882352941,0.9411764705882353
pydata__xarray-4493,3,3,2,2,4,3,3,3,2.875,1.0434782608695652,0.15102406956521738,6.956521739130435,160012.52173913043,0.24642857142857139,3.130434782608696,1.0434782608695652
pydata__xarray-5131,1,1,1,1,1,1,1,2,1.125,0.8888888888888888,0.15831666666666666,7.111111111111111,134624.88888888888,0.2109375,2.6666666666666665,1.7777777777777777
pylint-dev__pylint-5859,2,2,1,2,1,2,3,2,1.875,1.0666666666666667,0.14150056,5.866666666666666,353526.93333333335,0.1171875,1.0666666666666667,0.5333333333333333
pylint-dev__pylint-6506,2,2,2,2,2,1,2,2,1.875,1.2444444444444445,0.20138872000000002,5.866666666666666,201143.46666666667,0.24456521739130424,3.7333333333333334,0.5333333333333333
pylint-dev__pylint-7080,2,2,2,2,2,2,3,2,2.125,1.0588235294117647,0.5199641647058821,8.0,295410.35294117645,0.2361111111111111,4.235294117647059,0.9411764705882353
pylint-dev__pylint-7114,3,4,2,3,2,4,4,3,3.125,0.96,0.17256408000000004,8.0,398951.68,0.10080645161290311,0.96,1.6
pylint-dev__pylint-7228,2,3,2,2,2,2,3,2,2.25,0.3333333333333333,0.17683146666666663,8.0,140149.66666666666,0.34615384615384603,1.3333333333333333,0.4444444444444444
pylint-dev__pylint-7993,3,3,2,2,2,3,3,3,2.625,0.38095238095238093,0.11354462857142857,3.8095238095238093,139702.09523809524,0.3499999999999999,0.7619047619047619,0.0
pytest-dev__pytest-11143,3,3,2,2,2,3,3,2,2.5,1.6,0.07447925999999996,2.0,174986.8,0.25,1.6,0.4
pytest-dev__pytest-11148,4,4,3,3,4,5,4,3,3.75,0.4666666666666667,0.1596234533333333,3.2,92727.53333333334,0.4999999999999999,1.8666666666666667,0.5333333333333333
pytest-dev__pytest-5103,3,4,2,3,2,3,4,3,3.0,0.6666666666666666,0.3506855500000001,6.666666666666667,313228.55555555556,0.28125,2.0,1.0
pytest-dev__pytest-5221,2,3,2,2,1,1,2,2,1.875,0.8,0.18313104,13.866666666666667,258109.86666666667,0.12096774193548374,1.6,0.5333333333333333
