instance_id,enew1_read_edit_ratio,enew1_edits_without_read_pct,enew1_write_vs_edit_ratio,enew1_n_reads,enew1_n_edits,enew1_n_writes,enew2_recovery_breadth,enew2_retry_without_change_rate,enew2_error_rate_early,enew2_error_rate_late,enew2_total_errors
django__django-13220,1.5,0.5,0.0,3,2,0,0.0,0.0,0.3333333333333333,0.0,1
django__django-13230,2.0,0.0,0.0,2,1,0,0.0,0.0,0.25,0.0,1
django__django-13265,9.0,0.0,0.0,9,1,0,0.0,0.0,0.1111111111111111,0.0,1
django__django-13315,2.0,0.0,0.0,2,1,0,0.0,0.0,0.3333333333333333,0.0,2
django__django-13321,1.6666666666666667,0.0,0.0,5,3,0,1.0,0.0,0.16666666666666666,0.14285714285714285,2
django__django-13401,1.5,0.5,0.0,3,2,0,0.0,0.0,0.14285714285714285,0.0,1
django__django-13447,0.5,0.0,0.0,2,4,0,0.0,0.0,0.16666666666666666,0.0,1
django__django-13448,0.8461538461538461,0.38461538461538464,0.0,11,13,0,0.0,0.0,0.2222222222222222,0.0,2
django__django-13551,5.0,0.0,0.0,5,1,0,0.0,0.03571428571428571,0.125,0.0,1
django__django-13590,2.0,0.5,0.0,4,2,0,0.5,0.0,0.16666666666666666,0.0,3
django__django-13658,0.5,0.5,0.0,1,2,0,0.5,0.0,0.5,0.0,2
django__django-13660,1.0,0.0,0.0,1,1,0,1.0,0.0,0.0,0.0,0
django__django-13710,1.0,0.25,0.0,4,4,0,0.0,0.0,0.125,0.0,1
django__django-13757,1.3333333333333333,0.3333333333333333,0.0,4,3,0,0.0,0.0,0.16666666666666666,0.0,1
django__django-13768,0.6666666666666666,0.0,0.0,2,3,0,0.0,0.0,0.5,0.0,1
django__django-13925,2.0,0.3333333333333333,0.0,6,3,0,0.0,0.03333333333333333,0.1111111111111111,0.0,1
django__django-13933,1.1666666666666667,0.0,0.0,7,6,0,0.0,0.0,0.1111111111111111,0.0,1
django__django-13964,7.0,0.0,0.0,7,1,0,0.0,0.0,0.1111111111111111,0.0,1
django__django-14016,0.6666666666666666,0.5,0.0,4,6,0,0.0,0.0,0.1111111111111111,0.0,1
django__django-14017,1.3333333333333333,0.6666666666666666,0.0,4,3,0,0.0,0.0,0.1111111111111111,0.0,1
django__django-14155,2.25,0.25,0.0,9,4,0,0.5,0.0,0.1111111111111111,0.1,2
django__django-14238,3.0,0.0,0.0,3,1,0,0.0,0.05,0.16666666666666666,0.0,1
django__django-14382,1.0,0.0,0.0,1,1,0,1.0,0.0,0.0,0.0,0
django__django-14411,2.0,0.0,0.0,2,1,0,0.0,0.0,0.2,0.0,1
django__django-14534,1.3333333333333333,0.3333333333333333,0.0,4,3,0,0.0,0.0,0.1111111111111111,0.2,3
django__django-14580,3.0,0.0,0.0,3,1,0,0.0,0.0,0.25,0.0,1
django__django-14608,2.0,0.0,0.0,4,2,0,0.5,0.0,0.16666666666666666,0.14285714285714285,2
django__django-14667,6.0,0.0,0.0,6,1,0,0.5,0.0,0.125,0.1111111111111111,2
django__django-14672,2.0,0.0,0.0,2,1,0,0.0,0.0,0.5,0.0,1
django__django-14730,1.125,0.0,0.0,9,8,0,0.0,0.03225806451612903,0.1111111111111111,0.0,1
django__django-14752,1.0,0.0,0.0,2,2,0,0.0,0.0,0.25,0.0,1
django__django-14787,2.0,0.0,0.0,2,1,0,0.0,0.0,0.2,0.0,1
django__django-14855,4.0,0.0,0.0,4,1,0,0.0,0.0,0.16666666666666666,0.0,1
django__django-14915,2.0,0.0,0.0,2,1,0,0.0,0.0,0.5,0.0,1
django__django-14997,15.0,0.0,0.0,15,1,0,0.0,0.0,0.2222222222222222,0.0,2
django__django-14999,2.0,0.0,0.0,2,1,0,0.0,0.0,0.3333333333333333,0.0,2
django__django-15061,6.0,0.0,0.0,6,1,0,0.0,0.037037037037037035,0.125,0.0,1
django__django-15202,4.0,0.0,0.0,4,1,0,1.0,0.0,0.0,0.0,1
django__django-15213,1.625,0.5,0.0,13,8,0,0.0,0.0,0.1,0.0,1
django__django-15252,1.5,0.5,0.0,6,4,0,0.5,0.0,0.1111111111111111,0.1,2
django__django-15320,6.0,0.0,0.0,6,1,0,0.0,0.0,0.125,0.0,1
django__django-15347,4.0,0.0,0.0,4,1,0,0.0,0.0,0.2,0.0,1
django__django-15388,3.3333333333333335,0.0,0.0,10,3,0,0.0,0.0,0.2222222222222222,0.0,2
django__django-15400,3.0,0.0,0.0,3,1,0,0.0,0.0,0.16666666666666666,0.0,1
django__django-15498,5.0,0.0,0.0,5,1,0,0.0,0.0,0.16666666666666666,0.0,1
django__django-15695,3.6666666666666665,0.0,0.0,11,3,0,0.0,0.0,0.2222222222222222,0.0,2
django__django-15738,,,,21,0,0,0.0,0.0,0.1111111111111111,0.0,1
django__django-15781,2.0,0.0,0.0,4,2,0,0.0,0.0,0.3333333333333333,0.0,1
django__django-15789,3.0,0.0,0.0,3,1,0,0.5,0.0,0.25,0.2,2
django__django-15790,1.0,0.0,0.0,2,2,0,0.0,0.043478260869565216,0.16666666666666666,0.0,1
django__django-15814,8.0,0.0,0.0,8,1,0,0.0,0.03225806451612903,0.1111111111111111,0.0,1
django__django-15819,0.5,0.3333333333333333,0.0,3,6,0,0.0,0.0,0.14285714285714285,0.0,1
django__django-15851,1.5,0.0,0.0,3,2,0,0.0,0.0,0.5,0.0,2
django__django-15902,3.5,0.5,0.0,7,2,0,0.5,0.0,0.1,0.09090909090909091,2
django__django-15996,2.0,0.0,0.0,2,1,0,0.5,0.0,0.16666666666666666,0.0,2
django__django-16041,2.0,0.0,0.0,2,1,0,0.0,0.0,0.2,0.0,1
django__django-16046,2.0,0.0,0.0,2,1,0,0.5,0.0,0.2,0.0,2
django__django-16139,3.0,0.0,0.0,3,1,0,0.0,0.0,0.16666666666666666,0.0,1
django__django-16229,9.0,0.0,0.0,9,1,0,0.0,0.0,0.18181818181818182,0.0,2
django__django-16255,1.0,0.0,0.0,1,1,0,0.0,0.0,1.0,0.0,1
django__django-16379,1.0,0.0,0.0,1,1,0,1.0,0.0,0.0,0.0,0
django__django-16400,,,,8,0,0,0.5,0.0,0.2222222222222222,0.1,4
django__django-16408,,,,19,0,0,0.0,0.0,0.1111111111111111,0.0,1
django__django-16527,2.0,0.0,0.0,2,1,0,1.0,0.0,0.0,0.0,0
django__django-16595,3.0,0.0,0.0,3,1,0,0.5,0.0,0.16666666666666666,0.14285714285714285,2
django__django-16816,6.0,0.0,0.0,6,1,0,0.0,0.0,0.2222222222222222,0.0,2
django__django-16820,2.0,0.5,0.0,4,2,0,0.0,0.0,0.1111111111111111,0.0,1
django__django-16873,1.5,0.0,0.0,3,2,0,0.0,0.0,0.2,0.0,1
django__django-16910,8.0,0.0,0.0,8,1,0,0.0,0.0,0.1111111111111111,0.0,1
django__django-17051,4.0,0.0,0.0,8,2,0,0.0,0.0,0.1,0.0,1
django__django-17087,2.0,0.0,0.0,2,1,0,0.0,0.0,0.16666666666666666,0.0,1
matplotlib__matplotlib-18869,0.75,0.25,0.0,6,8,0,0.3333333333333333,0.0,0.25,0.0,3
matplotlib__matplotlib-22711,2.6666666666666665,0.6666666666666666,0.3333333333333333,8,2,1,0.3333333333333333,0.0,0.1111111111111111,0.1,7
matplotlib__matplotlib-22835,2.0,0.0,0.0,2,1,0,0.5,0.08333333333333333,0.3333333333333333,0.0,4
matplotlib__matplotlib-23299,6.0,0.0,0.0,12,2,0,0.5,0.0,0.1111111111111111,0.1,2
matplotlib__matplotlib-23314,2.0,0.0,0.0,2,1,0,0.3333333333333333,0.0,0.2222222222222222,0.0,4
matplotlib__matplotlib-23476,2.6666666666666665,0.0,0.0,8,3,0,0.5,0.0,0.1,0.18181818181818182,4
matplotlib__matplotlib-23562,1.75,0.0,0.0,7,4,0,0.5,0.0,0.1111111111111111,0.0,5
matplotlib__matplotlib-23563,0.5,0.2222222222222222,0.0,9,18,0,0.0,0.0,0.1111111111111111,0.0,1
matplotlib__matplotlib-23913,3.0,0.0,0.0,9,3,0,0.5,0.0,0.125,0.0,5
matplotlib__matplotlib-23964,3.0,0.0,0.0,3,1,0,0.5,0.0,0.3333333333333333,0.0,2
matplotlib__matplotlib-23987,12.0,0.0,0.0,12,1,0,0.5,0.03125,0.1111111111111111,0.6,7
matplotlib__matplotlib-24149,3.0,0.0,0.0,3,1,0,0.3333333333333333,0.0,0.5,0.0,4
matplotlib__matplotlib-24265,1.0,0.0,0.0,2,2,0,0.5,0.0,0.3333333333333333,0.3,8
matplotlib__matplotlib-24334,2.0,0.0,0.0,2,1,0,0.0,0.0,0.3333333333333333,0.0,1
matplotlib__matplotlib-24970,3.0,0.0,0.0,3,1,0,0.5,0.0,0.16666666666666666,0.0,7
matplotlib__matplotlib-25079,5.0,0.0,0.0,15,3,0,0.5,0.0,0.2,0.2727272727272727,7
matplotlib__matplotlib-25311,4.0,0.0,0.0,4,1,0,0.5,0.11538461538461539,0.14285714285714285,0.0,2
matplotlib__matplotlib-25332,2.3333333333333335,0.0,0.0,7,3,0,0.5,0.0,0.1111111111111111,0.1,3
matplotlib__matplotlib-25433,10.0,0.0,0.0,10,1,0,0.5,0.0,0.1111111111111111,0.3,4
matplotlib__matplotlib-25442,2.0,0.0,0.0,6,3,0,1.0,0.0,0.0,0.16666666666666666,1
matplotlib__matplotlib-25498,10.0,0.0,0.0,10,1,0,0.5,0.0,0.1111111111111111,0.0,4
matplotlib__matplotlib-26011,4.0,0.0,0.0,4,1,0,0.5,0.0,0.16666666666666666,0.0,2
matplotlib__matplotlib-26020,4.5,0.5,0.0,9,2,0,0.0,0.0,0.1111111111111111,0.0,1
mwaskom__seaborn-2848,1.4,0.0,0.0,7,5,0,0.3333333333333333,0.0,0.3333333333333333,0.5,9
mwaskom__seaborn-3010,2.0,0.0,0.0,2,1,0,1.0,0.0,0.0,0.0,0
mwaskom__seaborn-3190,3.0,0.0,0.0,3,1,0,0.0,0.0,0.0,0.6666666666666666,2
mwaskom__seaborn-3407,,,,8,0,0,0.5,0.0,0.1,0.18181818181818182,5
pallets__flask-4045,1.5,0.0,0.0,3,2,0,0.0,0.0,0.3333333333333333,0.0,2
pallets__flask-4992,1.5,0.5,0.0,3,2,0,0.0,0.0,0.4,0.0,2
pallets__flask-5063,1.0,0.6666666666666666,0.0,3,3,0,0.5,0.0,0.375,0.0,3
psf__requests-1963,2.0,0.0,0.0,4,2,0,0.5,0.0,0.25,0.4,3
psf__requests-2148,2.0,0.0,0.0,6,3,0,0.0,0.0,0.4,0.0,2
psf__requests-2317,2.0,0.0,0.0,2,1,0,0.5,0.0,0.25,0.4,3
psf__requests-2674,1.0,0.0,0.0,3,3,0,0.0,0.0,0.2,0.0,1
psf__requests-3362,3.0,0.0,0.0,6,2,0,0.0,0.0,0.4,0.0,2
psf__requests-863,3.0,0.0,0.0,3,1,0,0.0,0.0,0.3333333333333333,0.0,1
pydata__xarray-3364,1.3333333333333333,0.0,0.0,8,6,0,0.5,0.0,0.1111111111111111,0.1,2
pydata__xarray-4094,1.5,0.5,0.0,3,2,0,0.0,0.0,0.25,0.0,2
pydata__xarray-4248,2.0,0.0,0.0,8,4,0,0.0,0.0,0.2222222222222222,0.0,2
pydata__xarray-4493,3.0,0.0,0.0,9,3,0,0.5,0.0,0.2,0.0,3
pydata__xarray-5131,1.0,0.0,0.0,3,3,0,0.0,0.0,0.5,0.0,2
pylint-dev__pylint-5859,2.0,0.0,0.0,2,1,0,0.0,0.0,0.25,0.0,1
pylint-dev__pylint-6506,2.3333333333333335,0.0,0.0,7,3,0,0.0,0.0,0.0,0.0,1
pylint-dev__pylint-7080,2.25,0.5,0.0,9,4,0,0.0,0.1111111111111111,0.2,0.0,2
pylint-dev__pylint-7114,3.0,0.0,0.0,3,1,0,0.5,0.0,0.1111111111111111,0.0,5
pylint-dev__pylint-7228,0.75,0.75,0.0,3,4,0,0.0,0.0,0.14285714285714285,0.0,1
pylint-dev__pylint-7993,1.0,0.5,0.0,2,2,0,1.0,0.0,0.0,0.0,0
pytest-dev__pytest-11143,4.0,0.0,0.0,4,1,0,0.0,0.0,0.0,0.3333333333333333,1
pytest-dev__pytest-11148,1.75,0.0,0.0,7,4,0,0.0,0.0,0.2222222222222222,0.0,2
pytest-dev__pytest-5103,2.0,0.0,0.0,6,3,0,0.5,0.0,0.2222222222222222,0.0,3
pytest-dev__pytest-5221,1.5,0.0,0.0,3,2,0,0.0,0.03225806451612903,0.1111111111111111,0.0,1
pytest-dev__pytest-5227,3.0,0.0,0.0,3,1,0,0.0,0.0,0.2,0.0,1
pytest-dev__pytest-5413,4.5,0.0,0.0,9,2,0,0.3333333333333333,0.0,0.2222222222222222,0.0,4
pytest-dev__pytest-5495,5.0,0.0,0.0,5,1,0,0.5,0.0,0.1111111111111111,0.0,2
pytest-dev__pytest-5692,1.0,0.0,0.0,3,3,0,0.0,0.05263157894736842,0.2,0.0,1
pytest-dev__pytest-6116,1.25,0.75,0.0,5,4,0,0.0,0.0,0.1111111111111111,0.1,2
pytest-dev__pytest-7168,2.0,0.0,0.0,2,1,0,1.0,0.0,0.0,0.0,0
pytest-dev__pytest-7220,3.0,0.0,0.0,6,2,0,0.0,0.0,0.1111111111111111,0.0,1
pytest-dev__pytest-7373,0.7142857142857143,0.0,0.0,5,7,0,0.0,0.0,0.0,0.0,1
pytest-dev__pytest-7432,1.0,0.0,0.0,1,1,0,1.0,0.0,0.0,0.0,0
pytest-dev__pytest-7490,2.0,0.0,0.0,2,1,0,0.0,0.06666666666666667,0.1111111111111111,0.0,1
pytest-dev__pytest-8365,4.0,0.0,0.0,4,1,0,0.5,0.23076923076923078,0.14285714285714285,0.125,2
pytest-dev__pytest-8906,1.2,0.2,0.0,6,5,0,0.5,0.0,0.125,0.0,2
pytest-dev__pytest-9359,4.0,1.0,0.0,4,1,0,0.0,0.0,0.14285714285714285,0.0,1
scikit-learn__scikit-learn-10297,3.0,0.0,0.0,3,1,0,0.3333333333333333,0.0,0.5,0.0,4
scikit-learn__scikit-learn-10508,2.0,0.5,0.0,4,2,0,0.5,0.0,0.16666666666666666,0.0,3
scikit-learn__scikit-learn-10949,1.3333333333333333,0.0,0.0,4,3,0,0.5,0.0,0.3333333333333333,0.0,5
scikit-learn__scikit-learn-11040,1.2,0.0,0.0,6,5,0,0.5,0.0,0.2222222222222222,0.0,3
scikit-learn__scikit-learn-11281,4.0,0.0,0.0,4,1,0,0.5,0.0,0.14285714285714285,0.0,4
scikit-learn__scikit-learn-12471,2.0,0.0,0.0,2,1,0,0.3333333333333333,0.0,0.3333333333333333,0.1,7
scikit-learn__scikit-learn-13142,3.0,0.0,0.0,3,1,0,0.5,0.0,0.2,0.0,3
scikit-learn__scikit-learn-13241,1.5,1.0,0.0,6,4,0,0.3333333333333333,0.0,0.2,0.0,6
scikit-learn__scikit-learn-13439,2.0,0.0,0.0,2,1,0,0.5,0.0,0.3333333333333333,0.0,3
scikit-learn__scikit-learn-13496,1.0,0.0,0.0,2,2,0,0.0,0.0,0.25,0.0,1
scikit-learn__scikit-learn-13497,2.0,0.0,0.0,2,1,0,0.0,0.0,0.3333333333333333,0.25,2
scikit-learn__scikit-learn-13584,1.5,0.5,0.0,3,2,0,0.5,0.0,0.42857142857142855,0.0,3
scikit-learn__scikit-learn-13779,2.0,0.0,0.0,2,1,0,0.3333333333333333,0.0,0.4,0.16666666666666666,5
scikit-learn__scikit-learn-14087,5.0,0.0,0.0,5,1,0,0.5,0.0,0.16666666666666666,0.0,3
scikit-learn__scikit-learn-14092,0.6,0.4,0.0,3,5,0,0.5,0.0,0.1111111111111111,0.0,4
scikit-learn__scikit-learn-14894,1.5,0.5,0.0,3,2,0,0.5,0.0,0.25,0.0,2
scikit-learn__scikit-learn-14983,2.3333333333333335,0.0,0.0,7,3,0,0.5,0.0,0.1111111111111111,0.0,2
scikit-learn__scikit-learn-15512,4.0,0.0,0.0,4,1,0,0.5,0.0,0.2,0.16666666666666666,6
scikit-learn__scikit-learn-15535,2.0,0.0,0.0,2,1,0,0.5,0.0,0.2222222222222222,0.0,4
scikit-learn__scikit-learn-25500,1.5,0.5,0.0,3,2,0,0.5,0.0,0.2,0.0,3
scikit-learn__scikit-learn-25570,6.0,0.0,0.0,12,2,0,0.3333333333333333,0.0,0.2222222222222222,0.3,8
scikit-learn__scikit-learn-25638,4.0,0.0,0.0,4,1,0,0.5,0.0,0.3333333333333333,0.0,2
scikit-learn__scikit-learn-25747,1.0,0.5,0.0,2,2,0,0.3333333333333333,0.0,0.3333333333333333,0.1,5
sphinx-doc__sphinx-10325,3.0,0.0,0.0,6,2,0,0.0,0.0,0.16666666666666666,0.0,1
sphinx-doc__sphinx-10451,1.0,0.0,0.0,2,2,0,0.0,0.0,0.2,0.0,1
sphinx-doc__sphinx-11445,2.5,0.0,0.0,5,2,0,0.5,0.0,0.2,0.0,2
sphinx-doc__sphinx-7686,6.0,0.0,0.0,6,1,0,0.0,0.0,0.2,0.0,1
sphinx-doc__sphinx-7738,1.3333333333333333,0.16666666666666666,0.0,8,6,0,0.3333333333333333,0.0,0.2222222222222222,0.0,3
sphinx-doc__sphinx-7975,2.0,0.0,0.0,2,1,0,1.0,0.0,0.0,0.0,0
sphinx-doc__sphinx-8273,0.6,0.0,0.0,3,5,0,0.0,0.0,0.3333333333333333,0.0,1
sphinx-doc__sphinx-8282,1.1666666666666667,0.5,0.0,7,6,0,0.0,0.0,0.16666666666666666,0.0,1
sphinx-doc__sphinx-8435,2.75,0.0,0.0,11,4,0,0.5,0.0,0.1111111111111111,0.0,2
sphinx-doc__sphinx-8474,,,,7,0,0,0.0,0.0,0.1111111111111111,0.0,1
sphinx-doc__sphinx-8506,5.0,0.0,0.0,5,1,0,0.0,0.0,0.2,0.0,1
sphinx-doc__sphinx-8595,4.0,0.0,0.0,4,1,0,0.0,0.0,0.25,0.2,2
sphinx-doc__sphinx-8627,0.8,0.2,0.0,4,5,0,0.5,0.0,0.1,0.09090909090909091,2
sphinx-doc__sphinx-8713,3.0,0.0,0.0,3,1,0,0.3333333333333333,0.0,0.3333333333333333,0.16666666666666666,5
sphinx-doc__sphinx-8721,2.0,0.0,0.0,2,1,0,0.0,0.0,0.3333333333333333,0.0,1
sphinx-doc__sphinx-8801,8.0,0.0,0.0,8,1,0,0.0,0.0,0.2,0.0,2
sympy__sympy-11400,4.0,0.0,0.0,4,1,0,0.5,0.0,0.16666666666666666,0.14285714285714285,5
sympy__sympy-11870,2.0,0.0,0.0,4,2,0,0.5,0.0,0.4,0.0,4
sympy__sympy-11897,4.0,0.0,0.0,4,1,0,0.5,0.0,0.4444444444444444,0.0,5
sympy__sympy-12171,4.0,0.0,0.0,4,1,0,0.5,0.0,0.25,0.0,3
sympy__sympy-12236,3.0,0.0,0.0,6,2,0,0.5,0.0,0.4444444444444444,0.0,5
sympy__sympy-12419,,,,4,0,0,0.5,0.0,0.2222222222222222,0.0,5
sympy__sympy-12454,4.0,0.0,0.0,4,1,0,0.5,0.0,0.16666666666666666,0.0,5
sympy__sympy-12481,4.0,0.0,0.0,4,1,0,0.5,0.0,0.16666666666666666,0.0,2
sympy__sympy-13031,,,,12,0,0,0.5,0.0,0.3,0.0,4
sympy__sympy-13043,1.0,0.6666666666666666,0.0,3,3,0,0.3333333333333333,0.0,0.3333333333333333,0.0,4
sympy__sympy-13146,2.5,0.0,0.0,10,4,0,0.5,0.0,0.2222222222222222,0.0,4
sympy__sympy-13177,2.0,0.0,0.0,2,1,0,0.5,0.0,0.3333333333333333,0.0,7
sympy__sympy-13437,4.0,0.0,0.0,4,1,0,0.5,0.0,0.1,0.09090909090909091,4
sympy__sympy-13471,2.0,0.0,0.0,2,1,0,0.5,0.0,0.3333333333333333,0.25,3
sympy__sympy-13480,2.0,0.0,0.0,2,1,0,1.0,0.0,0.0,0.0,1
sympy__sympy-13647,2.0,0.0,0.0,2,1,0,0.5,0.0,0.2,0.0,3
sympy__sympy-13773,2.6666666666666665,0.0,0.0,8,3,0,0.5,0.0,0.1111111111111111,0.1,6
sympy__sympy-13895,5.0,0.0,0.0,5,1,0,1.0,0.0,0.3333333333333333,0.0,4
sympy__sympy-13915,,,,10,0,0,0.5,0.0,0.5555555555555556,0.0,6
sympy__sympy-13971,4.0,0.0,0.0,4,1,0,0.5,0.0,0.14285714285714285,0.0,2
sympy__sympy-14024,,,,11,0,0,1.0,0.0,0.4444444444444444,0.0,4
sympy__sympy-14308,10.0,0.0,0.0,10,1,0,0.5,0.0,0.2,0.0,3
sympy__sympy-14317,3.0,0.5,0.0,6,2,0,0.5,0.0,0.2222222222222222,0.1,5
sympy__sympy-14396,2.0,0.5,0.0,4,2,0,0.5,0.0,0.4,0.0,2
sympy__sympy-14774,2.0,0.0,0.0,2,1,0,1.0,0.0,0.0,0.0,3
sympy__sympy-14817,1.5,0.0,0.0,3,2,0,0.5,0.12903225806451613,0.3333333333333333,0.0,6
sympy__sympy-15011,10.0,0.0,0.0,10,1,0,0.0,0.0,0.1111111111111111,0.0,1
sympy__sympy-15308,5.0,0.0,0.0,5,1,0,0.0,0.0,0.16666666666666666,0.0,1
sympy__sympy-15345,2.0,0.0,0.0,2,1,0,0.0,0.0,0.6666666666666666,0.0,2
sympy__sympy-15346,,,,11,0,0,0.3333333333333333,0.0,0.2222222222222222,0.4,7
sympy__sympy-15609,2.0,0.0,0.0,2,1,0,0.0,0.0,0.25,0.0,1
sympy__sympy-15678,2.5,0.0,0.0,5,2,0,0.0,0.0,0.4,0.0,2
sympy__sympy-16106,3.5,0.0,0.0,7,2,0,0.5,0.0,0.2857142857142857,0.0,2
sympy__sympy-16281,4.5,0.0,0.0,9,2,0,0.5,0.0625,0.1111111111111111,0.2,10
sympy__sympy-16503,,,,7,0,0,0.0,0.0,0.3333333333333333,0.0,1
sympy__sympy-16792,14.0,0.0,0.0,14,1,0,0.0,0.0,0.3333333333333333,0.0,3
sympy__sympy-16988,8.0,0.0,0.0,8,1,0,0.0,0.0,0.1111111111111111,0.0,1
sympy__sympy-17022,5.0,0.0,0.0,5,1,0,0.5,0.0,0.2222222222222222,0.0,4
sympy__sympy-17139,1.0,0.0,0.0,1,1,0,1.0,0.0,0.0,0.0,0
sympy__sympy-17630,1.0,0.0,0.0,4,4,0,1.0,0.0,0.0,0.0,0
sympy__sympy-17655,2.0,0.0,0.0,8,4,0,1.0,0.0,0.1111111111111111,0.0,1
sympy__sympy-18057,5.0,0.0,0.0,5,1,0,0.0,0.0,0.0,0.0,2
sympy__sympy-18087,10.0,0.0,0.0,10,1,0,0.0,0.0,0.1111111111111111,0.0,1
sympy__sympy-18189,3.0,0.0,0.0,3,1,0,0.0,0.0,0.4,0.0,2
sympy__sympy-18199,1.5,0.5,0.0,3,2,0,0.5,0.0,0.14285714285714285,0.125,2
