instance_id,gold_pass,total_cost_usd,tokens_per_edit,loop_count,model_family,_n_edits,_n_reads,_n_bash,_total_tokens,_total_prompt_tokens,_total_completion_tokens
django__django-11049,0,5.204076,48534.3,33,claude-sonnet,32,0,26,1553099,1538565,14534
django__django-13658,1,1.639206,56228.5,15,claude-sonnet,8,0,14,449828,445853,3975
django__django-13551,0,2.966928,42962.4,24,claude-sonnet,20,0,20,859249,848964,10285
django__django-11848,0,2.022138,46237.5,17,claude-sonnet,12,0,14,554850,547200,7650
django__django-11815,1,5.637192,47398.7,40,claude-sonnet,36,0,36,1706354,1690265,16089
django__django-13315,0,4.455972,41186.4,30,claude-sonnet,34,0,22,1400338,1387539,12799
django__django-13158,1,6.565032,47923.0,43,claude-sonnet,42,0,36,2012767,1998140,14627
django__django-12856,0,5.14257,51423.0,34,claude-sonnet,30,0,30,1542689,1530332,12357
django__django-13757,1,5.136426,48602.9,33,claude-sonnet,30,0,24,1458087,1439382,18705
astropy__astropy-14995,1,1.951524,37826.4,15,claude-sonnet,14,0,8,529569,524329,5240
django__django-11630,0,6.545064,52912.4,40,claude-sonnet,36,0,36,1904847,1877055,27792
django__django-11964,0,7.499454,38030.6,55,claude-sonnet,60,0,42,2281833,2259814,22019
django__django-11797,0,6.050886,50625.7,35,claude-sonnet,36,0,26,1822525,1809388,13137
django__django-13925,0,6.278166,86465.7,34,claude-sonnet,22,0,38,1902245,1887183,15062
django__django-12708,1,5.90562,51180.0,35,claude-sonnet,36,0,30,1842480,1821345,21135
django__django-14016,1,1.14486,37093.9,12,claude-sonnet,8,0,8,296751,292694,4057
django__django-12589,0,13.754838,80088.9,50,claude-sonnet,56,0,42,4484978,4459986,24992
django__django-13033,1,4.138092,54751.7,28,claude-sonnet,22,0,26,1204538,1192715,11823
django__django-14238,1,2.825118,44326.3,19,claude-sonnet,20,0,14,886526,880975,5551
django__django-14155,0,2.738172,48343.9,20,claude-sonnet,16,0,16,773502,763578,9924
django__django-14017,1,1.897032,43247.6,17,claude-sonnet,12,0,14,518971,510610,8361
django__django-14534,0,2.81649,55127.1,19,claude-sonnet,16,0,18,882033,876172,5861
django__django-14672,1,2.099394,49168.8,17,claude-sonnet,12,0,14,590026,584032,5994
django__django-14382,1,2.53038,27853.6,32,claude-sonnet,28,0,32,779902,769122,10780
django__django-14915,1,1.559568,42535.3,15,claude-sonnet,10,0,12,425353,420764,4589
django__django-15061,0,1.749456,44989.5,15,claude-sonnet,12,0,14,539874,535611,4263
django__django-14411,1,3.23136,63379.5,22,claude-sonnet,16,0,24,1014072,1006968,7104
django__django-15347,1,1.73106,52750.3,13,claude-sonnet,10,0,12,527503,522981,4522
django__django-13933,1,5.412108,51302.9,32,claude-sonnet,32,0,24,1641693,1630617,11076
django__django-14997,0,2.314842,29383.8,27,claude-sonnet,22,0,24,646444,636139,10305
django__django-14608,1,3.460782,56255.1,24,claude-sonnet,18,0,22,1012592,1003224,9368
django__django-12497,1,7.858932,49995.0,47,claude-sonnet,48,0,38,2399760,2374830,24930
django__django-14787,1,3.203664,40668.7,24,claude-sonnet,24,0,20,976048,960891,15157
django__django-15252,0,1.97964,30107.7,18,claude-sonnet,18,0,10,541939,531509,10430
django__django-14752,1,3.956922,44752.9,29,claude-sonnet,26,0,24,1163575,1149853,13722
django__django-11910,0,8.426646,49206.2,52,claude-sonnet,52,0,44,2558724,2532882,25842
django__django-15789,1,2.259114,53678.1,17,claude-sonnet,12,0,14,644137,638344,5793
django__django-15498,1,3.48129,63135.8,21,claude-sonnet,16,0,18,1010172,1003021,7151
django__django-14855,1,5.899608,52759.0,38,claude-sonnet,34,0,34,1793807,1778939,14868
django__django-13964,0,6.528942,36169.0,49,claude-sonnet,54,0,36,1953125,1929222,23903
django__django-15814,1,1.29282,21820.2,21,claude-sonnet,16,0,18,349124,343193,5931
django__django-13265,0,18.845748,84891.2,74,claude-sonnet,70,0,70,5942387,5912785,29602
django__django-15781,0,2.68869,47731.2,20,claude-sonnet,16,0,16,763699,754970,8729
django__django-15202,0,2.14926,41156.0,16,claude-sonnet,16,0,12,658496,652349,6147
django__django-15790,0,6.009282,52394.6,32,claude-sonnet,36,0,24,1886207,1868095,18112
django__django-16041,1,2.4849,44952.6,20,claude-sonnet,16,0,16,719242,713154,6088
django__django-12915,1,4.522134,48599.1,29,claude-sonnet,28,0,22,1360775,1351214,9561
django__django-15213,1,5.793426,61224.1,32,claude-sonnet,28,0,28,1714275,1697411,16864
django__django-16400,0,3.774318,41889.0,28,claude-sonnet,28,0,24,1172892,1161249,11643
django__django-16255,1,1.021884,50968.8,11,claude-sonnet,6,0,12,305813,302628,3185
django__django-16139,1,3.097794,44709.1,22,claude-sonnet,20,0,16,894181,884532,9649
django__django-15738,0,2.594388,33971.4,24,claude-sonnet,22,0,18,747370,737424,9946
django__django-16046,0,1.894578,44191.1,17,claude-sonnet,12,0,14,530293,525818,4475
django__django-16527,1,3.028134,39169.7,24,claude-sonnet,22,0,18,861733,848710,13023
django__django-15851,1,2.032128,74069.8,22,claude-sonnet,8,0,28,592558,587697,4861
django__django-14580,1,3.382776,37739.6,27,claude-sonnet,26,0,20,981229,972014,9215
django__django-11422,0,35.930664,125936.4,101,claude-sonnet,94,0,106,11838024,11803308,34716
django__django-15320,0,6.64074,63600.5,39,claude-sonnet,32,0,38,2035215,2019567,15648
django__django-16595,1,3.298794,47294.2,21,claude-sonnet,20,0,14,945885,935285,10600
django__django-16873,1,2.33544,51698.6,18,claude-sonnet,14,0,18,723781,717547,6234
django__django-14730,0,4.635462,53491.9,29,claude-sonnet,26,0,24,1390789,1379714,11075
django__django-15902,1,3.731436,45533.4,27,claude-sonnet,24,0,22,1092802,1082305,10497
django__django-15400,0,1.393344,46681.0,14,claude-sonnet,8,0,12,373448,368926,4522
matplotlib__matplotlib-18869,0,1.739646,38870.4,14,claude-sonnet,12,0,8,466445,460346,6099
matplotlib__matplotlib-22711,0,0.964608,24446.5,15,claude-sonnet,10,0,12,244465,239964,4501
django__django-17087,1,5.100618,59259.5,36,claude-sonnet,26,0,38,1540746,1529933,10813
django__django-16379,1,2.693598,42741.2,23,claude-sonnet,18,0,20,769342,758541,10801
matplotlib__matplotlib-22835,0,2.218338,39395.1,18,claude-sonnet,16,0,12,630322,624970,5352
django__django-16820,0,7.326168,41645.6,56,claude-sonnet,54,0,50,2248861,2229001,19860
matplotlib__matplotlib-24265,0,0.872226,15490.5,15,claude-sonnet,16,0,10,247848,241354,6494
matplotlib__matplotlib-24149,1,1.59531,43446.2,14,claude-sonnet,10,0,10,434462,430796,3666
matplotlib__matplotlib-23476,0,1.42779,23048.2,17,claude-sonnet,16,0,10,368772,363082,5690
matplotlib__matplotlib-23964,1,1.878264,58081.6,14,claude-sonnet,10,0,14,580816,576864,3952
matplotlib__matplotlib-23562,1,2.208072,34519.2,17,claude-sonnet,18,0,8,621346,616531,4815
matplotlib__matplotlib-23314,0,1.43181,18052.2,21,claude-sonnet,24,0,14,433253,426730,6523
matplotlib__matplotlib-24334,1,2.530998,51556.0,19,claude-sonnet,14,0,16,721784,714803,6981
django__django-17051,1,4.51911,39670.8,35,claude-sonnet,34,0,28,1348808,1337277,11531
django__django-12908,0,46.183254,200656.7,101,claude-sonnet,76,0,124,15249906,15213778,36128
django__django-15819,1,4.456068,59926.5,25,claude-sonnet,22,0,20,1318384,1309478,8906
matplotlib__matplotlib-25079,0,2.751102,55601.0,18,claude-sonnet,14,0,14,778414,771991,6423
matplotlib__matplotlib-24970,1,2.038974,32274.2,24,claude-sonnet,18,0,22,580936,573946,6990
pytest-dev__pytest-7373,1,0.651972,18730.3,10,claude-sonnet,10,0,6,187303,183795,3508
pytest-dev__pytest-5227,1,0.779142,28740.1,10,claude-sonnet,8,0,8,229921,227144,2777
pytest-dev__pytest-7168,0,1.194858,22436.3,16,claude-sonnet,14,0,10,314108,308713,5395
pytest-dev__pytest-7490,0,1.193166,30555.1,14,claude-sonnet,10,0,10,305551,301691,3860
django__django-11999,1,3.07518,53275.2,21,claude-sonnet,18,0,20,958953,951324,7629
pallets__flask-4992,0,1.283514,21435.4,17,claude-sonnet,18,0,12,385837,379425,6412
psf__requests-1963,1,0.972618,28683.6,13,claude-sonnet,10,0,12,286836,281925,4911
pytest-dev__pytest-7432,1,1.264734,33355.0,15,claude-sonnet,10,0,12,333550,327598,5952
pytest-dev__pytest-5413,0,2.24544,44602.0,18,claude-sonnet,14,0,14,624428,618726,5702
pytest-dev__pytest-11143,1,1.528446,23459.3,18,claude-sonnet,20,0,12,469186,464075,5111
mwaskom__seaborn-3010,1,3.440574,33511.1,29,claude-sonnet,30,0,20,1005333,993747,11586
matplotlib__matplotlib-25332,1,4.282518,55888.8,25,claude-sonnet,24,0,22,1341330,1330043,11287
pylint-dev__pylint-7080,0,2.117112,46735.1,17,claude-sonnet,14,0,16,654291,649607,4684
matplotlib__matplotlib-25433,0,2.06499,40430.2,16,claude-sonnet,14,0,10,566023,559440,6583
django__django-12284,1,2.18706,43837.8,19,claude-sonnet,14,0,16,613729,606152,7577
pylint-dev__pylint-7993,0,2.82726,50697.4,21,claude-sonnet,16,0,18,811159,802028,9131
matplotlib__matplotlib-25442,1,3.228936,33260.1,22,claude-sonnet,28,0,8,931283,921011,10272
pallets__flask-5063,0,1.879086,29427.6,22,claude-sonnet,18,0,18,529696,522223,7473
pytest-dev__pytest-5495,0,1.355736,35033.6,14,claude-sonnet,10,0,10,350336,345448,4888
pydata__xarray-3364,0,1.868436,23315.5,21,claude-sonnet,22,0,12,512941,503262,9679
pytest-dev__pytest-5692,0,1.447848,36639.7,18,claude-sonnet,12,0,20,439676,434009,5667
psf__requests-3362,1,1.380048,29170.1,15,claude-sonnet,14,0,12,408382,401855,6527
pydata__xarray-5131,1,0.899598,23407.0,14,claude-sonnet,10,0,10,234070,229981,4089
psf__requests-2317,1,0.875712,25936.9,12,claude-sonnet,10,0,10,259369,255615,3754
pydata__xarray-4248,0,1.651134,32064.3,19,claude-sonnet,14,0,16,448900,439452,9448
psf__requests-2148,0,3.875784,31522.5,30,claude-sonnet,36,0,16,1134809,1122063,12746
mwaskom__seaborn-3190,1,0.848016,24883.3,12,claude-sonnet,10,0,10,248833,244848,3985
matplotlib__matplotlib-26011,1,2.1624,43435.3,18,claude-sonnet,14,0,14,608094,602753,5341
matplotlib__matplotlib-23913,1,2.55522,45499.5,19,claude-sonnet,16,0,14,727992,720048,7944
pylint-dev__pylint-5859,1,1.466316,43875.4,13,claude-sonnet,10,0,12,438754,432899,5855
django__django-15695,0,4.222974,47579.1,29,claude-sonnet,28,0,26,1332216,1321569,10647
matplotlib__matplotlib-26020,1,4.26153,70599.3,24,claude-sonnet,18,0,22,1270788,1263708,7080
matplotlib__matplotlib-25498,0,4.220946,57104.0,27,claude-sonnet,22,0,24,1256287,1245346,10941
pallets__flask-4045,0,0.856506,27613.9,13,claude-sonnet,8,0,10,220911,217027,3884
django__django-12453,1,1.193418,30818.3,12,claude-sonnet,10,0,6,308183,303964,4219
psf__requests-2674,1,5.074086,40164.4,40,claude-sonnet,36,0,32,1445917,1431870,14047
psf__requests-863,1,1.013868,26866.0,14,claude-sonnet,10,0,10,268660,264371,4289
pylint-dev__pylint-7114,0,4.361886,53452.6,27,claude-sonnet,24,0,22,1282862,1269389,13473
pylint-dev__pylint-6506,0,2.299356,35129.7,19,claude-sonnet,18,0,12,632334,627244,5090
pytest-dev__pytest-5221,0,1.84398,41751.5,17,claude-sonnet,12,0,14,501018,496817,4201
matplotlib__matplotlib-23987,0,5.943786,53416.5,33,claude-sonnet,34,0,24,1816161,1807073,9088
pytest-dev__pytest-11148,1,2.694924,34174.6,23,claude-sonnet,22,0,16,751842,741807,10035
django__django-14999,0,3.391662,70931.4,22,claude-sonnet,14,0,22,993040,986863,6177
django__django-12308,0,7.032666,44224.8,49,claude-sonnet,48,0,42,2122789,2100322,22467
pytest-dev__pytest-8365,0,0.684528,13698.3,14,claude-sonnet,12,0,8,164380,158878,5502
pydata__xarray-4094,0,2.64828,40875.7,25,claude-sonnet,20,0,26,817513,807902,9611
mwaskom__seaborn-3407,1,9.055782,47908.0,48,claude-sonnet,58,0,30,2778666,2759049,19617
mwaskom__seaborn-2848,0,3.764496,58787.2,23,claude-sonnet,20,0,24,1175744,1155972,19772
matplotlib__matplotlib-23299,0,6.90258,55730.3,37,claude-sonnet,38,0,28,2117751,2104619,13132
scikit-learn__scikit-learn-10508,0,1.498806,49969.2,13,claude-sonnet,8,0,10,399754,395507,4247
scikit-learn__scikit-learn-10297,1,2.426076,49600.7,18,claude-sonnet,14,0,14,694410,689239,5171
scikit-learn__scikit-learn-11040,0,1.4073,41733.6,12,claude-sonnet,10,0,10,417336,411546,5790
scikit-learn__scikit-learn-13584,1,1.695138,45929.6,15,claude-sonnet,10,0,12,459296,453309,5987
matplotlib__matplotlib-23563,1,4.90053,54345.7,29,claude-sonnet,26,0,24,1412989,1390631,22358
scikit-learn__scikit-learn-10949,0,2.183064,43504.6,17,claude-sonnet,14,0,12,609065,603097,5968
pytest-dev__pytest-7220,0,14.218698,55287.0,61,claude-sonnet,80,0,34,4422962,4394679,28283
scikit-learn__scikit-learn-11281,1,3.150222,56573.9,20,claude-sonnet,16,0,16,905182,896958,8224
scikit-learn__scikit-learn-13496,1,1.61871,43043.1,14,claude-sonnet,10,0,10,430431,424486,5945
scikit-learn__scikit-learn-12471,0,2.482074,57439.7,17,claude-sonnet,12,0,14,689276,681413,7863
scikit-learn__scikit-learn-13439,1,1.693002,46855.3,15,claude-sonnet,10,0,12,468553,463917,4636
pytest-dev__pytest-8906,0,4.76682,41991.2,33,claude-sonnet,34,0,24,1427702,1416355,11347
scikit-learn__scikit-learn-15512,0,1.75209,39849.2,15,claude-sonnet,12,0,10,478190,472337,5853
scikit-learn__scikit-learn-13497,0,2.363238,51423.1,18,claude-sonnet,14,0,18,719924,710829,9095
scikit-learn__scikit-learn-14092,1,2.496972,50010.2,17,claude-sonnet,14,0,12,700143,693663,6480
scikit-learn__scikit-learn-13779,1,1.80366,41028.8,15,claude-sonnet,12,0,10,492346,486696,5650
sphinx-doc__sphinx-8273,0,0.685086,24600.8,13,claude-sonnet,8,0,14,196806,192504,4302
pytest-dev__pytest-5103,0,13.493424,60770.9,56,claude-sonnet,70,0,40,4253960,4192998,60962
django__django-16229,0,14.042928,88212.4,52,claude-sonnet,50,0,46,4410618,4388855,21763
sphinx-doc__sphinx-7975,0,1.060476,37779.9,10,claude-sonnet,8,0,8,302239,296558,5681
scikit-learn__scikit-learn-14894,1,1.238214,39677.9,12,claude-sonnet,8,0,8,317423,313414,4009
scikit-learn__scikit-learn-14087,1,5.879196,55840.0,35,claude-sonnet,32,0,30,1786880,1773304,13576
scikit-learn__scikit-learn-25747,0,1.6845,38022.2,15,claude-sonnet,12,0,10,456267,450558,5709
scikit-learn__scikit-learn-15535,1,4.915722,51822.4,28,claude-sonnet,28,0,20,1451026,1438678,12348
scikit-learn__scikit-learn-13142,1,5.494416,68590.9,27,claude-sonnet,24,0,22,1646181,1634392,11789
scikit-learn__scikit-learn-25500,0,2.826084,55413.6,20,claude-sonnet,16,0,20,886617,880656,5961
sphinx-doc__sphinx-8282,0,3.920604,51458.7,27,claude-sonnet,24,0,26,1235008,1226329,8679
sphinx-doc__sphinx-8721,1,1.447794,35712.9,12,claude-sonnet,12,0,8,428555,422162,6393
sphinx-doc__sphinx-8713,1,2.547306,40776.1,21,claude-sonnet,18,0,16,733969,727119,6850
sphinx-doc__sphinx-10325,0,4.511994,46082.1,26,claude-sonnet,28,0,16,1290300,1276615,13685
sphinx-doc__sphinx-8474,0,4.412808,59230.8,26,claude-sonnet,22,0,22,1303077,1296168,6909
sympy__sympy-11400,0,2.432544,38689.8,20,claude-sonnet,18,0,14,696417,689242,7175
sphinx-doc__sphinx-8595,1,3.261186,51376.1,24,claude-sonnet,20,0,24,1027521,1021375,6146
sphinx-doc__sphinx-8506,0,2.544774,60627.8,21,claude-sonnet,12,0,22,727533,722153,5380
sympy__sympy-12171,0,2.38839,37799.3,21,claude-sonnet,18,0,16,680388,672088,8300
django__django-12113,0,13.367676,81549.8,57,claude-sonnet,52,0,58,4240591,4207944,32647
sympy__sympy-12481,1,2.524884,72179.3,19,claude-sonnet,10,0,20,721793,716809,4984
sphinx-doc__sphinx-8801,1,6.357852,94531.7,31,claude-sonnet,20,0,34,1890634,1879940,10694
sphinx-doc__sphinx-7738,0,4.81509,39915.2,44,claude-sonnet,38,0,46,1516776,1503812,12964
sympy__sympy-13177,0,1.194594,35551.7,12,claude-sonnet,10,0,10,355517,350545,4972
pydata__xarray-4493,0,28.362204,65378.2,101,claude-sonnet,142,0,58,9283708,9241118,42590
sympy__sympy-12454,0,1.75659,39883.8,15,claude-sonnet,12,0,10,478606,473737,4869
sympy__sympy-13437,0,1.586574,42777.4,14,claude-sonnet,10,0,10,427774,423754,4020
matplotlib__matplotlib-25311,1,4.289244,44729.9,39,claude-sonnet,30,0,44,1341896,1328409,13487
scikit-learn__scikit-learn-13241,0,2.37609,113993.0,22,claude-sonnet,6,0,30,683958,677230,6728
sympy__sympy-13647,1,1.998426,43399.6,14,claude-sonnet,14,0,10,607595,602160,5435
scikit-learn__scikit-learn-25570,1,6.388128,50744.5,35,claude-sonnet,38,0,24,1928292,1911290,17002
sympy__sympy-13471,1,1.833126,27824.7,21,claude-sonnet,20,0,18,556493,548078,8415
sympy__sympy-13031,0,2.772612,47382.4,20,claude-sonnet,18,0,18,852884,843119,9765
sympy__sympy-13480,1,2.264712,45872.0,18,claude-sonnet,14,0,14,642208,637286,4922
pylint-dev__pylint-7228,0,41.835804,175484.8,101,claude-sonnet,80,0,120,14038786,14004904,33882
sympy__sympy-13773,0,2.016204,35401.9,17,claude-sonnet,16,0,10,566431,561393,5038
sympy__sympy-13146,0,4.024824,43579.7,26,claude-sonnet,30,0,20,1307392,1298838,8554
sympy__sympy-13895,0,1.86687,41893.3,15,claude-sonnet,12,0,10,502720,496991,5729
sympy__sympy-13971,0,3.216354,52193.4,21,claude-sonnet,18,0,16,939482,933851,5631
scikit-learn__scikit-learn-14983,0,15.789522,69204.4,62,claude-sonnet,74,0,48,5121126,5085614,35512
sympy__sympy-13043,0,6.56385,75920.5,31,claude-sonnet,26,0,28,1973934,1965639,8295
sympy__sympy-14024,0,2.942994,58678.4,19,claude-sonnet,14,0,16,821498,814271,7227
sympy__sympy-14817,0,1.526514,46279.0,13,claude-sonnet,10,0,12,462790,458420,4370
sympy__sympy-14396,0,1.734906,47254.5,15,claude-sonnet,10,0,12,472545,467587,4958
django__django-14667,0,33.264636,88536.8,101,claude-sonnet,122,0,78,10801484,10729802,71682
django__django-16910,0,36.786108,121928.4,101,claude-sonnet,98,0,102,11948988,11870726,78262
sympy__sympy-14774,1,1.760682,40468.7,16,claude-sonnet,12,0,12,485624,481194,4430
sympy__sympy-16503,0,1.526226,38707.0,13,claude-sonnet,12,0,10,464484,460455,4029
sympy__sympy-14317,0,2.464866,38804.9,19,claude-sonnet,18,0,12,698488,691732,6756
sympy__sympy-16106,0,1.723026,52506.0,13,claude-sonnet,10,0,12,525060,520854,4206
sympy__sympy-15609,0,1.516164,50942.0,14,claude-sonnet,8,0,12,407536,403332,4204
sympy__sympy-14308,0,5.430078,53970.0,28,claude-sonnet,30,0,18,1619099,1608967,10132
sphinx-doc__sphinx-10451,0,14.909184,65838.8,59,claude-sonnet,70,0,40,4608713,4574544,34169
sympy__sympy-15345,1,1.98585,35036.7,19,claude-sonnet,16,0,14,560587,553582,7005
sympy__sympy-15308,0,2.744766,44196.3,21,claude-sonnet,18,0,16,795534,788945,6589
django__django-16408,0,43.49919,88422.4,101,claude-sonnet,160,0,40,14147578,14059540,88038
sympy__sympy-17139,1,1.56678,42577.7,14,claude-sonnet,10,0,10,425777,421943,3834
sympy__sympy-11897,0,11.137776,76285.7,43,claude-sonnet,44,0,34,3356569,3317580,38989
sympy__sympy-18057,1,1.91925,52415.7,15,claude-sonnet,10,0,12,524157,519756,4401
sympy__sympy-12236,0,9.225018,81071.6,39,claude-sonnet,34,0,36,2756435,2723274,33161
sympy__sympy-16281,0,1.810776,39538.1,15,claude-sonnet,14,0,12,553534,548181,5353
sympy__sympy-18199,0,2.185122,42424.6,16,claude-sonnet,14,0,10,593944,586132,7812
sympy__sympy-17630,0,4.17618,56116.1,25,claude-sonnet,22,0,20,1234555,1224768,9787
sympy__sympy-18621,1,1.617576,54304.5,14,claude-sonnet,8,0,12,434436,429607,4829
sympy__sympy-16792,1,5.712348,71920.1,31,claude-sonnet,24,0,30,1726082,1715482,10600
sympy__sympy-18189,1,1.962156,38268.4,16,claude-sonnet,14,0,10,535758,529269,6489
sympy__sympy-18698,0,1.44507,37197.3,13,claude-sonnet,10,0,8,371973,365962,6011
sympy__sympy-17655,1,2.307414,46136.4,18,claude-sonnet,14,0,14,645910,637932,7978
sympy__sympy-18835,0,1.694454,42753.9,15,claude-sonnet,12,0,14,513047,506903,6144
sympy__sympy-17022,1,4.425576,65390.0,26,claude-sonnet,20,0,24,1307800,1297679,10121
sympy__sympy-19487,0,1.701216,46959.6,16,claude-sonnet,10,0,14,469596,465113,4483
sympy__sympy-15011,1,11.34117,75859.6,42,claude-sonnet,46,0,30,3489543,3474775,14768
sympy__sympy-20049,0,1.249002,37047.3,11,claude-sonnet,10,0,8,370473,366149,4324
django__django-12184,1,1.082352,20190.0,18,claude-sonnet,14,0,14,282660,276984,5676
sympy__sympy-20442,0,1.284942,33768.9,13,claude-sonnet,10,0,8,337689,333603,4086
sympy__sympy-20154,1,2.028156,44120.9,14,claude-sonnet,14,0,10,617693,611273,6420
sympy__sympy-19007,0,2.920368,46437.4,21,claude-sonnet,18,0,16,835874,826428,9446
sympy__sympy-20212,1,1.88406,57515.0,14,claude-sonnet,10,0,14,575150,570430,4720
sympy__sympy-19254,0,2.367636,45210.1,16,claude-sonnet,16,0,12,723361,714908,8453
sympy__sympy-21055,1,1.912542,43587.5,15,claude-sonnet,12,0,10,523050,518490,4560
sympy__sympy-20639,0,2.177394,42073.5,17,claude-sonnet,16,0,14,673176,667408,5768
sympy__sympy-18532,0,3.773934,65368.5,23,claude-sonnet,18,0,24,1176633,1166797,9836
sympy__sympy-21171,0,2.096106,48563.8,16,claude-sonnet,12,0,12,582766,576907,5859
sympy__sympy-20590,0,4.351842,70040.4,23,claude-sonnet,18,0,20,1260728,1253668,7060
sympy__sympy-22005,0,0.875622,34885.5,10,claude-sonnet,6,0,6,209313,206308,3005
sphinx-doc__sphinx-7686,0,37.345038,89243.4,101,claude-sonnet,138,0,62,12315586,12282396,33190
sympy__sympy-21847,1,2.316402,50999.5,18,claude-sonnet,14,0,18,713993,707037,6956
sphinx-doc__sphinx-8435,1,40.13661,95818.5,101,claude-sonnet,138,0,62,13222958,13183980,38978
sympy__sympy-23117,1,1.876488,43202.3,16,claude-sonnet,12,0,12,518428,513071,5357
sympy__sympy-24152,1,1.19115,38212.5,12,claude-sonnet,8,0,8,305700,301774,3926
sympy__sympy-24909,0,0.631284,14943.5,13,claude-sonnet,10,0,8,149435,144549,4886
sympy__sympy-20322,0,8.717172,99618.0,29,claude-sonnet,26,0,24,2590067,2573629,16438
sympy__sympy-24213,1,1.063632,34266.5,12,claude-sonnet,8,0,8,274132,270105,4027
scikit-learn__scikit-learn-25638,0,1.952058,59248.1,14,claude-sonnet,10,0,14,592481,586445,6036
sympy__sympy-22840,1,4.18938,57926.9,23,claude-sonnet,20,0,14,1158538,1151364,7174
sympy__sympy-21612,0,5.960994,147428.7,27,claude-sonnet,12,0,34,1769144,1762572,6572
sphinx-doc__sphinx-8627,0,35.179278,165930.2,85,claude-sonnet,68,0,94,11283257,11252423,30834
sympy__sympy-23262,1,8.36985,66912.4,34,claude-sonnet,40,0,24,2676496,2665245,11251
sympy__sympy-24102,0,7.017192,43067.9,40,claude-sonnet,50,0,22,2153397,2138065,15332
sympy__sympy-15346,1,19.183572,66247.6,76,claude-sonnet,88,0,48,5829786,5780091,49695
sympy__sympy-16988,0,5.952474,45062.6,35,claude-sonnet,40,0,22,1802503,1783746,18757
sympy__sympy-23191,0,16.751994,97053.2,53,claude-sonnet,54,0,44,5240875,5221889,18986
sympy__sympy-22714,1,14.168688,78815.4,54,claude-sonnet,56,0,44,4413662,4384279,29383
